speaker,entry_year,rel_year,n_speeches,share_emotional
Amherd Viola,2019,-5,24,4.166666666666666
Amherd Viola,2019,-4,23,13.043478260869565
Amherd Viola,2019,-3,20,15.0
Amherd Viola,2019,-2,20,15.0
Amherd Viola,2019,-1,9,11.11111111111111
Amherd Viola,2019,0,86,2.3255813953488373
Amherd Viola,2019,1,60,5.0
Amherd Viola,2019,2,66,3.0303030303030303
Amherd Viola,2019,3,121,1.6528925619834711
Amherd Viola,2019,4,128,1.5625
Amherd Viola,2019,5,125,0.0
Berset Alain,2012,-5,38,0.0
Berset Alain,2012,-4,95,4.2105263157894735
Berset Alain,2012,-3,207,4.830917874396135
Berset Alain,2012,-2,85,7.0588235294117645
Berset Alain,2012,-1,54,1.8518518518518516
Berset Alain,2012,0,210,0.9523809523809524
Berset Alain,2012,1,278,0.0
Berset Alain,2012,2,316,0.31645569620253167
Berset Alain,2012,3,190,0.5263157894736842
Berset Alain,2012,4,180,1.1111111111111112
Berset Alain,2012,5,259,1.5444015444015444
Blocher Christoph,2004,-5,6,50.0
Blocher Christoph,2004,-4,14,21.428571428571427
Blocher Christoph,2004,-3,18,61.111111111111114
Blocher Christoph,2004,-2,21,42.857142857142854
Blocher Christoph,2004,-1,45,37.77777777777778
Blocher Christoph,2004,0,310,3.870967741935484
Blocher Christoph,2004,1,296,4.391891891891892
Blocher Christoph,2004,2,283,0.7067137809187279
Blocher Christoph,2004,3,303,2.31023102310231
Burkhalter Didier,2009,-5,16,0.0
Burkhalter Didier,2009,-4,56,0.0
Burkhalter Didier,2009,-3,33,0.0
Burkhalter Didier,2009,-2,20,0.0
Burkhalter Didier,2009,-1,21,4.761904761904762
Burkhalter Didier,2009,0,78,1.282051282051282
Burkhalter Didier,2009,1,224,2.232142857142857
Burkhalter Didier,2009,2,288,0.6944444444444444
Burkhalter Didier,2009,3,81,0.0
Burkhalter Didier,2009,4,77,6.493506493506493
Burkhalter Didier,2009,5,73,8.21917808219178
Cassis Ignazio,2017,-5,51,15.686274509803921
Cassis Ignazio,2017,-4,48,4.166666666666666
Cassis Ignazio,2017,-3,23,0.0
Cassis Ignazio,2017,-2,32,3.125
Cassis Ignazio,2017,-1,6,50.0
Cassis Ignazio,2017,0,14,0.0
Cassis Ignazio,2017,1,122,4.098360655737705
Cassis Ignazio,2017,2,106,0.9433962264150944
Cassis Ignazio,2017,3,114,0.8771929824561403
Cassis Ignazio,2017,4,94,2.127659574468085
Cassis Ignazio,2017,5,127,8.661417322834646
Jans Beat,2024,-5,64,26.5625
Jans Beat,2024,-4,25,20.0
Jans Beat,2024,0,407,2.9484029484029484
Jans Beat,2024,1,317,3.1545741324921135
Keller-Sutter Karin,2019,-5,34,2.941176470588235
Keller-Sutter Karin,2019,-4,32,3.125
Keller-Sutter Karin,2019,-3,42,11.904761904761903
Keller-Sutter Karin,2019,-2,26,23.076923076923077
Keller-Sutter Karin,2019,-1,29,37.93103448275862
Keller-Sutter Karin,2019,0,230,0.43478260869565216
Keller-Sutter Karin,2019,1,257,2.3346303501945527
Keller-Sutter Karin,2019,2,242,0.4132231404958678
Keller-Sutter Karin,2019,3,212,1.4150943396226416
