year,Switzerland (this study),France,United Kingdom,New Zealand,European Parliament,United States (Congress)
1999,0.0343963137114122,,-0.7571375868798891,-0.09684078352030004,-0.5411722359394466,-1.8685959270940529
2000,-0.1010481868994257,,-1.2848473006925802,-1.328884444422484,-0.5845622400313351,-1.8805796713779974
2001,0.0451510969478972,,-0.8718279111650465,-1.7311747760826608,-0.30479781500618014,-0.44421953110551854
2002,-0.1319388103351345,,-0.8449858403833265,-0.8034712825221014,-0.5435193320721519,-0.006413671967086627
2003,-0.1049166219616647,,-1.1419210816753464,-1.4736110933441824,-0.4494913896467722,-0.6792940731006144
2004,-0.0434153904914944,,-1.010765115389014,-1.3593884954555118,-0.17430464539414792,0.26361949162913634
2005,-0.1141415346018589,,-0.7495089304848838,0.522745643960666,-0.07573531870799194,0.09592885422631593
2006,-0.1640302218650624,,-1.0514918430222508,-0.8067370567747114,-0.049196760738628366,-0.1409615053734513
2007,-0.0550542593763151,0.4965024874974644,-0.6325244304423074,-0.08021236146853161,-0.30832880151110603,-0.7566907357612663
2008,0.0351449436214375,0.2939204196378952,-0.5586204014684688,1.2446253786913988,-0.3340079126769708,-0.7763373513991886
2009,0.0590743608374367,0.2860065327160346,-0.3664580700979269,-0.03894218361177005,-0.05246556035730747,-1.4610283147821757
2010,-0.0305654731026967,-0.2974498361728808,-0.11265763197510466,-0.03522299788756867,-0.6252202511811376,-0.4058056837264374
2011,-0.01153618835668,-2.1386064252604995,0.2085710461046436,0.11610157635221557,-0.9443442947700518,-0.4336757321024034
2012,-0.0067879730448536,-0.1557479858439491,0.4779210214045621,-0.35916021423416783,-1.176829469482183,-0.4599623680332555
2013,0.0211321869468998,0.4073284906673058,0.8807989342060583,-0.21042793820698993,-1.1448883789053519,-0.5099693553274862
2014,-0.1042972849943258,-0.7058515098711943,1.1346184048275625,1.6905075023585499,-1.0279210160168377,-0.4904822768794449
2015,-0.0234835852966567,-1.2137568353899297,1.5842542227024314,0.40525126435914,-1.079042389785267,-0.03578153226215614
2016,-0.1145540253335481,-1.0572715516186206,1.4175235077454347,0.7652482832830418,-1.3731224034277987,0.31575228868190497
2017,0.0138769949983516,-0.0018351761601786342,1.035512278865086,1.2022799100177675,0.8839140874040091,0.534210242865882
2018,0.0659196406509071,0.0047732982819564135,1.201557730518538,1.103143603840366,0.9462419224408315,1.01259042467464
2019,0.0375821965766959,-0.7552387472481693,1.441988997301859,1.2741704646680043,1.528105680700834,0.9263330791108545
2020,0.1085452909391585,0.13902537146012392,,,1.2432602749889567,1.3454310467763104
2021,0.1021442439490408,-0.15856673114096442,,,1.0698524776427853,1.784393578183823
2022,0.1540391472722038,1.9194352029380364,,,1.715602323409405,1.5166743087828305
2023,0.0855604901110342,1.5925135080219968,,,1.6293200109037769,1.2014718412645538
2024,0.1257550028542029,1.3448194874855908,,,1.772653438160091,1.3533925740962864
2025,,,,,,
