topic,SP_z,SVP_z,svp_minus_sp
Healthcare,0.2655270331627089,0.12464554478759064,-0.14088148837511827
Transport & Infrastructure,0.5657766409350758,0.47890643897684826,-0.08687020195822759
Social Policy & Labor,0.5123833374921197,0.44057832474545683,-0.0718050127466629
Foreign Policy & Security,0.7284402057515997,0.6962894497379429,-0.0321507560136568
Energy & Environment,-0.24037133176207687,-0.27173696500251765,-0.03136563324044078
Budget & Public Finance,-0.22433949782470738,-0.23737705260671016,-0.013037554782002775
Parliamentary Procedure,-0.17405002147996687,-0.1477757626099719,0.02627425886999496
Financial Regulation,-0.5485507437800161,-0.5111855536564022,0.037365190123613945
Criminal Justice,0.02729480773788162,0.13111044977968106,0.10381564204179944
Defense & Military,0.32779766771281765,0.46687224480567197,0.1390745770928543
