SpeakerFullName,party,n_speeches,n_reactions,reaction_rate_pct
Binder Max,SVP,1159,66,5.694564279551337
Bruderer Wyss Pascale,SP,535,61,11.401869158878505
Egerszegi-Obrist Christine,FDP,1058,57,5.387523629489603
Janiak Claude,SP,703,56,7.965860597439544
Bugnon André,SVP,801,50,6.242197253433209
Christen Yves,FDP,678,48,7.079646017699115
Simoneschi-Cortesi Chiara,Mitte,729,45,6.172839506172839
Maury Pasquier Liliane,SP,596,45,7.550335570469799
Germanier Jean-René,FDP,538,43,7.992565055762081
Meyer Thérèse,Mitte,623,34,5.457463884430177
Seiler Hanspeter,SVP,382,34,8.900523560209423
Walter Hansjörg,SVP,394,32,8.121827411167512
Hess Peter,Mitte,437,29,6.636155606407322
Rossini Stéphane,SP,420,29,6.904761904761905
de Buman Dominique,Mitte,498,27,5.421686746987952
Stahl Jürg,SVP,260,27,10.384615384615385
Markwalder Christa,FDP,360,26,7.222222222222221
Aebi Andreas,SVP,299,26,8.695652173913043
Lustenberger Ruedi,Mitte,448,24,5.357142857142857
Graf Maya,Grüne,487,24,4.9281314168377826
Candinas Martin,Mitte,284,22,7.746478873239436
Giezendanner Ulrich,SVP,361,21,5.8171745152354575
Moret Isabelle,FDP,371,17,4.5822102425876015
Blocher Christoph,SVP,176,13,7.386363636363637
Feller Olivier,FDP,444,12,2.7027027027027026
