canton,n_speeches,n_mps,speeches_per_mp
Zug,2076,7,296.57142857142856
Schaffhausen,1409,5,281.8
Basel-Landschaft,4969,18,276.05555555555554
Freiburg,4525,20,226.25
Wallis,5601,27,207.44444444444446
St. Gallen,7224,36,200.66666666666666
Zürich,19901,100,199.01
Appenzell I.-Rh.,586,3,195.33333333333334
Aargau,9624,50,192.48
Solothurn,4040,21,192.38095238095238
Luzern,5589,30,186.3
Waadt,11277,62,181.88709677419354
Nidwalden,544,3,181.33333333333334
Genf,6854,39,175.74358974358975
Tessin,3923,23,170.56521739130434
Bern,12766,75,170.21333333333334
Schwyz,2124,13,163.3846153846154
Glarus,467,3,155.66666666666666
Basel-Stadt,3009,20,150.45
Thurgau,2816,19,148.21052631578948
Jura,1014,7,144.85714285714286
Obwalden,641,5,128.2
Graubünden,2222,18,123.44444444444444
Appenzell A.-Rh.,587,5,117.4
Neuenburg,2300,20,115.0
Uri,420,4,105.0
