year,chamber,anger_share_pct
1999,National Council,11.691022964509393
1999,Council of States,0.7042253521126761
2000,National Council,9.545307965172526
2000,Council of States,3.701527614571093
2001,National Council,11.346362649294244
2001,Council of States,3.8869257950530036
2002,National Council,10.143646408839778
2002,Council of States,2.791103358046228
2003,National Council,9.68512486427796
2003,Council of States,3.0902348578491967
2004,National Council,10.221950722867033
2004,Council of States,4.017139796464917
2005,National Council,9.42188879082083
2005,Council of States,4.12287793047696
2006,National Council,8.21917808219178
2006,Council of States,2.5600630169358016
2007,National Council,10.43613707165109
2007,Council of States,2.5203252032520327
2008,National Council,10.841164336465734
2008,Council of States,3.6013813517513564
2009,National Council,11.816315101736047
2009,Council of States,4.853649499814746
2010,National Council,11.412032251395493
2010,Council of States,4.031702274293591
2011,National Council,9.789750328515112
2011,Council of States,3.8630377524143986
2012,National Council,9.550945976749487
2012,Council of States,3.5191956124314445
2013,National Council,10.86299139334729
2013,Council of States,4.5528455284552845
2014,National Council,10.962214411247803
2014,Council of States,3.3394327538883806
2015,National Council,10.676792494974313
2015,Council of States,2.7293064876957494
2016,National Council,10.815525512429131
2016,Council of States,2.841530054644809
2017,National Council,11.585825584317668
2017,Council of States,3.2996632996632997
2018,National Council,14.668192219679636
2018,Council of States,4.25531914893617
2019,National Council,12.676633217284456
2019,Council of States,4.1689827682045575
2020,National Council,11.040246316252473
2020,Council of States,2.581587920116902
2021,National Council,11.751045053413842
2021,Council of States,2.2999080036798527
2022,National Council,11.699361852989837
2022,Council of States,1.7921146953405016
2023,National Council,11.789520426287744
2023,Council of States,3.6831483350151366
2024,National Council,12.250217202432667
2024,Council of States,3.8529672276350757
2025,National Council,16.15656881115969
2025,Council of States,4.36397400185701
