year,share_emotion_pct
1999,20.45929018789144
2000,16.446307642695903
2001,20.11400651465798
2002,16.751381215469614
2003,15.765472312703583
2004,15.882712278558339
2005,15.158870255957634
2006,14.250994255413168
2007,17.489986648865152
2008,17.327526931010773
2009,18.480492813141684
2010,18.048377093239612
2011,16.16294349540079
2012,16.16138591292455
2013,17.818097231914397
2014,16.849736379613354
2015,18.40518204154568
2016,18.120366332315744
2017,19.70344307614979
2018,23.043478260869566
2019,21.48269506450952
2020,21.46470200131955
2021,21.086855550394798
2022,22.713306546915625
2023,20.603907637655418
2024,22.111207645525628
2025,26.462627524463876
