CAP_Topic,party,share_emotion_pct
Agriculture,FDP,10.301507537688442
Agriculture,GLP,10.819672131147541
Agriculture,Grüne,23.42007434944238
Agriculture,Mitte,13.126252505010019
Agriculture,SP,19.94408201304753
Agriculture,SVP,26.18218018914883
Civil Rights,FDP,19.912790697674417
Civil Rights,GLP,26.035502958579883
Civil Rights,Grüne,42.6179604261796
Civil Rights,Mitte,26.490066225165563
Civil Rights,SP,39.688715953307394
Civil Rights,SVP,43.99277326106594
Culture,FDP,13.043478260869565
Culture,GLP,20.0
Culture,Grüne,33.33333333333333
Culture,Mitte,21.301775147928996
Culture,SP,23.48993288590604
Culture,SVP,22.93577981651376
Defense,FDP,13.2013201320132
Defense,GLP,12.857142857142856
Defense,Grüne,27.67402376910017
Defense,Mitte,12.757731958762886
Defense,SP,19.36026936026936
Defense,SVP,22.55125284738041
Domestic Commerce,FDP,6.180257510729613
Domestic Commerce,GLP,8.532423208191126
Domestic Commerce,Grüne,18.650793650793652
Domestic Commerce,Mitte,8.229166666666666
Domestic Commerce,SP,19.819193324061196
Domestic Commerce,SVP,16.73944687045124
Education,FDP,8.36734693877551
Education,GLP,11.475409836065573
Education,Grüne,22.123893805309734
Education,Mitte,11.555555555555555
Education,SP,19.14008321775312
Education,SVP,13.594040968342643
Energy,FDP,9.362808842652797
Energy,GLP,14.028776978417264
Energy,Grüne,21.008403361344538
Energy,Mitte,7.564296520423601
Energy,SP,21.894218942189422
Energy,SVP,18.559837728194726
Environment,FDP,8.734939759036145
Environment,GLP,20.521172638436482
Environment,Grüne,30.352045670789725
Environment,Mitte,12.066115702479339
Environment,SP,26.574803149606304
Environment,SVP,23.003194888178914
Foreign Trade,FDP,6.796116504854369
Foreign Trade,GLP,10.16949152542373
Foreign Trade,Grüne,13.084112149532709
Foreign Trade,Mitte,5.88235294117647
Foreign Trade,SP,15.328467153284672
Foreign Trade,SVP,16.3265306122449
Government Operations,FDP,7.056451612903227
Government Operations,GLP,4.41988950276243
Government Operations,Grüne,21.50943396226415
Government Operations,Mitte,9.250693802035153
Government Operations,SP,14.677327241576243
Government Operations,SVP,15.442890442890441
Health,FDP,8.633633633633634
Health,GLP,16.10738255033557
Health,Grüne,30.110159118727047
Health,Mitte,9.083910700538876
Health,SP,22.813121272365805
Health,SVP,19.57637997432606
Housing,FDP,5.156537753222836
Housing,GLP,4.504504504504505
Housing,Grüne,19.063545150501675
Housing,Mitte,3.349282296650718
Housing,SP,25.666199158485277
Housing,SVP,11.544991511035652
Immigration,FDP,9.014675052410901
Immigration,GLP,20.74468085106383
Immigration,Grüne,44.0
Immigration,Mitte,12.46684350132626
Immigration,SP,34.274193548387096
Immigration,SVP,39.831401475237094
International Affairs,FDP,16.381418092909534
International Affairs,GLP,23.684210526315788
International Affairs,Grüne,35.99003735990037
International Affairs,Mitte,14.67991169977925
International Affairs,SP,29.417933927635033
International Affairs,SVP,33.957978421351505
Labor,FDP,9.759188846641319
Labor,GLP,6.299212598425196
Labor,Grüne,40.105540897097626
Labor,Mitte,11.305518169582772
Labor,SP,35.33190578158458
Labor,SVP,17.06700379266751
Law and Crime,FDP,8.916218293620293
Law and Crime,GLP,12.977099236641221
Law and Crime,Grüne,21.558164354322304
Law and Crime,Mitte,14.99503475670308
Law and Crime,SP,20.182961692395654
Law and Crime,SVP,33.13885647607935
Macroeconomics,FDP,7.122370936902486
Macroeconomics,GLP,6.8557919621749415
Macroeconomics,Grüne,21.04187946884576
Macroeconomics,Mitte,6.4784053156146175
Macroeconomics,SP,22.17114568599717
Macroeconomics,SVP,14.757554462403375
Public Lands,FDP,10.869565217391305
Public Lands,GLP,14.285714285714285
Public Lands,Grüne,8.064516129032258
Public Lands,Mitte,10.638297872340425
Public Lands,SP,17.272727272727273
Public Lands,SVP,17.02127659574468
Social Welfare,FDP,10.325047801147228
Social Welfare,GLP,12.977099236641221
Social Welfare,Grüne,45.811518324607334
Social Welfare,Mitte,17.888563049853374
Social Welfare,SP,33.7573385518591
Social Welfare,SVP,22.22222222222222
Technology,FDP,7.929515418502203
Technology,GLP,14.545454545454545
Technology,Grüne,18.64406779661017
Technology,Mitte,8.443271767810026
Technology,SP,15.428571428571427
Technology,SVP,15.74468085106383
Transportation,FDP,6.702127659574468
Transportation,GLP,8.786610878661087
Transportation,Grüne,17.313432835820898
Transportation,Mitte,8.651399491094146
Transportation,SP,15.267175572519085
Transportation,SVP,20.468277945619334
