CAP_Topic,share_emotion_pct
Civil Rights,35.87583148558758
Immigration,29.78723404255319
International Affairs,26.87353629976581
Social Welfare,25.23121387283237
Culture,22.57751937984496
Labor,22.4822695035461
Environment,21.8027062418158
Law and Crime,20.43041606886657
Agriculture,19.62257849031396
Defense,18.761274804570053
Health,17.646254784034994
Energy,15.772793759141882
Education,14.527162977867203
Macroeconomics,14.10606889010388
Transportation,13.96045536249251
Domestic Commerce,13.690268573421696
Public Lands,13.64522417153996
Housing,13.280957725402171
Technology,13.017479300827967
Government Operations,12.583370386838594
Foreign Trade,11.319281811085089
