party,dominant_emotion,share_pct
SP,anger,58.66229703560256
Grüne,anger,52.84801333703807
GLP,anger,37.925445705024316
Mitte,anger,43.28780028261894
FDP,anger,52.007932573128414
SVP,anger,72.77794074508654
SP,disgust,0.4022046774914345
Grüne,disgust,0.7224228952486802
GLP,disgust,0.9724473257698543
Mitte,disgust,0.6123410268487989
FDP,disgust,0.39662865642042633
SVP,disgust,0.24933998239953065
SP,enthusiasm,28.85446149262625
Grüne,enthusiasm,33.87051958877466
GLP,enthusiasm,42.463533225283626
Mitte,enthusiasm,36.59915214319359
FDP,enthusiasm,30.540406544372832
SVP,enthusiasm,15.943091815781754
SP,fear,3.0388797854908387
Grüne,fear,3.445401500416782
GLP,fear,5.186385737439222
Mitte,fear,4.66321243523316
FDP,fear,3.470500743678731
SVP,fear,3.4467585802288063
SP,hope,4.677491434530016
Grüne,hope,5.918310641844957
GLP,hope,6.9692058346839545
Mitte,hope,5.134243994347621
FDP,hope,3.7183936539414972
SVP,hope,1.0853622763273687
SP,joy,0.29792939073439595
Grüne,joy,0.1667129758266185
GLP,joy,0.1620745542949757
Mitte,joy,1.0833725859632595
FDP,joy,1.338621715418939
SVP,joy,0.46934584922264594
SP,none,2.18978102189781
Grüne,none,1.5559877743817727
GLP,none,3.889789303079417
Mitte,none,5.134243994347621
FDP,none,5.205751115518096
SVP,none,4.75212672337929
SP,pride,0.6405481900789513
Grüne,pride,0.5557099194220617
GLP,pride,1.2965964343598055
Mitte,pride,1.5544041450777202
FDP,pride,1.3882002974714922
SVP,pride,0.5720152537400996
SP,sadness,1.2364069715477433
Grüne,sadness,0.9169213670464018
GLP,sadness,1.1345218800648298
Mitte,sadness,1.9312293923692887
FDP,sadness,1.9335647000495786
SVP,sadness,0.7040187738339688
