year,party,enthusiasm_share_pct
1999,FDP,5.042016806722689
1999,Grüne,10.344827586206897
1999,Mitte,7.59493670886076
1999,SP,7.042253521126761
1999,SVP,3.6363636363636362
2000,FDP,4.017216642754662
2000,Grüne,10.683760683760683
2000,Mitte,1.9572953736654803
2000,SP,6.20347394540943
2000,SVP,1.8703241895261846
2001,FDP,4.707112970711297
2001,Grüne,14.000000000000002
2001,Mitte,5.50351288056206
2001,SP,8.452041785375117
2001,SVP,3.677758318739054
2002,FDP,3.2211882605583395
2002,Grüne,10.982658959537572
2002,Mitte,3.4934497816593884
2002,SP,5.058651026392962
2002,SVP,3.556771545827633
2003,FDP,2.802547770700637
2003,Grüne,10.967741935483872
2003,Mitte,3.993610223642172
2003,SP,5.121042830540038
2003,SVP,3.3170731707317076
2004,FDP,2.851108764519535
2004,Grüne,10.272536687631026
2004,Mitte,3.198031980319803
2004,SP,4.658385093167702
2004,SVP,1.875901875901876
2005,FDP,1.9821605550049552
2005,Grüne,7.039337474120083
2005,Mitte,3.215434083601286
2005,SP,6.193969030154849
2005,SVP,2.9545454545454546
2006,FDP,2.583732057416268
2006,Grüne,7.045454545454545
2006,Mitte,3.414634146341464
2006,SP,5.890052356020942
2006,SVP,1.447661469933185
2007,FDP,2.2435897435897436
2007,GLP,0.0
2007,Grüne,10.436893203883495
2007,Mitte,5.422647527910686
2007,SP,6.475485661424607
2007,SVP,2.933333333333333
2008,FDP,3.4586466165413534
2008,GLP,5.555555555555555
2008,Grüne,6.8686868686868685
2008,Mitte,4.166666666666666
2008,SP,4.911591355599214
2008,SVP,3.821196827685652
2009,FDP,1.95822454308094
2009,GLP,0.0
2009,Grüne,7.627118644067797
2009,Mitte,4.328223624887286
2009,SP,6.353790613718411
2009,SVP,2.906574394463668
2010,FDP,2.405498281786942
2010,GLP,0.0
2010,Grüne,8.431703204047219
2010,Mitte,3.9764359351988214
2010,SP,5.069801616458487
2010,SVP,3.4317637669592975
2011,FDP,2.62582056892779
2011,GLP,1.8691588785046727
2011,Grüne,6.994328922495274
2011,Mitte,4.166666666666666
2011,SP,6.399317406143344
2011,SVP,2.8938906752411575
2012,FDP,2.578018995929444
2012,GLP,2.7149321266968327
2012,Grüne,6.319702602230483
2012,Mitte,3.977272727272727
2012,SP,6.428571428571428
2012,SVP,3.280224929709466
2013,FDP,2.037845705967977
2013,GLP,2.734375
2013,Grüne,6.720977596741344
2013,Mitte,4.481792717086835
2013,SP,6.312900274473924
2013,SVP,4.631379962192817
2014,FDP,1.906158357771261
2014,GLP,5.801104972375691
2014,Grüne,5.684210526315789
2014,Mitte,4.431137724550898
2014,SP,5.177111716621254
2014,SVP,1.9143117593436645
2015,FDP,3.1545741324921135
2015,GLP,3.498542274052478
2015,Grüne,8.456659619450317
2015,Mitte,2.9535864978902953
2015,SP,7.552083333333333
2015,SVP,3.6941580756013748
2016,FDP,3.485254691689008
2016,GLP,3.257328990228013
2016,Grüne,8.469945355191257
2016,Mitte,4.2997542997543
2016,SP,5.439709882139619
2016,SVP,4.08
2017,FDP,1.2006861063464835
2017,GLP,5.853658536585367
2017,Grüne,9.113924050632912
2017,Mitte,5.873715124816446
2017,SP,6.900212314225053
2017,SVP,4.262574595055414
2018,FDP,1.8072289156626504
2018,GLP,4.926108374384237
2018,Grüne,9.562841530054644
2018,Mitte,4.7803617571059425
2018,SP,8.20419325432999
2018,SVP,4.739336492890995
2019,FDP,2.6923076923076925
2019,GLP,6.472491909385113
2019,Grüne,12.139917695473251
2019,Mitte,4.368932038834951
2019,SP,9.375
2019,SVP,4.207119741100324
2020,FDP,3.547066848567531
2020,GLP,6.718346253229974
2020,Grüne,14.418604651162791
2020,Mitte,2.5236593059936907
2020,SP,9.496124031007753
2020,SVP,4.92831541218638
2021,FDP,3.204047217537943
2021,GLP,7.887323943661972
2021,Grüne,12.038523274478331
2021,Mitte,2.4
2021,SP,7.851690294438386
2021,SVP,5.364626990779548
2022,FDP,4.098360655737705
2022,GLP,8.588957055214724
2022,Grüne,12.10762331838565
2022,Mitte,5.492730210016155
2022,SP,8.685714285714285
2022,SVP,3.8869257950530036
2023,FDP,2.8273809523809526
2023,GLP,8.743169398907105
2023,Grüne,8.689655172413794
2023,Mitte,5.777777777777778
2023,SP,6.96629213483146
2023,SVP,3.741496598639456
2024,FDP,2.8520499108734403
2024,GLP,7.913669064748201
2024,Grüne,9.746835443037975
2024,Mitte,3.889789303079417
2024,SP,7.931726907630522
2024,SVP,4.552129221732746
2025,FDP,4.049844236760125
2025,GLP,7.419354838709677
2025,Grüne,10.363391655450876
2025,Mitte,4.1116005873715125
2025,SP,7.7067669172932325
2025,SVP,6.236243580337491
