year,party,fear_share_pct
1999,FDP,0.8403361344537815
1999,Grüne,0.0
1999,Mitte,0.0
1999,SP,0.7042253521126761
1999,SVP,0.0
2000,FDP,0.5738880918220948
2000,Grüne,1.282051282051282
2000,Mitte,0.8896797153024912
2000,SP,0.49627791563275436
2000,SVP,0.4987531172069825
2001,FDP,0.3138075313807531
2001,Grüne,1.6
2001,Mitte,0.351288056206089
2001,SP,0.6647673314339981
2001,SVP,0.5253940455341506
2002,FDP,0.21474588403722264
2002,Grüne,1.4450867052023122
2002,Mitte,0.2911208151382824
2002,SP,1.0263929618768328
2002,SVP,0.5471956224350205
2003,FDP,0.3821656050955414
2003,Grüne,2.903225806451613
2003,Mitte,0.3194888178913738
2003,SP,0.6517690875232774
2003,SVP,0.3902439024390244
2004,FDP,0.42238648363252373
2004,Grüne,0.41928721174004197
2004,Mitte,0.36900369003690037
2004,SP,0.38819875776397517
2004,SVP,0.6493506493506493
2005,FDP,0.39643211100099107
2005,Grüne,1.6563146997929608
2005,Mitte,0.6430868167202572
2005,SP,0.0
2005,SVP,0.22727272727272727
2006,FDP,0.4784688995215311
2006,Grüne,0.45454545454545453
2006,Mitte,0.3252032520325203
2006,SP,0.5890052356020943
2006,SVP,0.6681514476614699
2007,FDP,0.16025641025641024
2007,GLP,0.0
2007,Grüne,0.48543689320388345
2007,Mitte,0.0
2007,SP,0.8325624421831638
2007,SVP,0.5333333333333333
2008,FDP,0.15037593984962408
2008,GLP,0.0
2008,Grüne,1.0101010101010102
2008,Mitte,0.6720430107526881
2008,SP,0.3929273084479371
2008,SVP,0.5767844268204758
2009,FDP,0.0
2009,GLP,0.0
2009,Grüne,0.0
2009,Mitte,0.4508566275924256
2009,SP,0.7220216606498195
2009,SVP,0.5536332179930795
2010,FDP,0.45819014891179843
2010,GLP,0.0
2010,Grüne,0.6745362563237773
2010,Mitte,0.7363770250368188
2010,SP,0.440852314474651
2010,SVP,0.3192338387869114
2011,FDP,0.3282275711159737
2011,GLP,0.0
2011,Grüne,0.1890359168241966
2011,Mitte,0.8333333333333334
2011,SP,0.3412969283276451
2011,SVP,0.7234726688102894
2012,FDP,0.0
2012,GLP,0.0
2012,Grüne,0.929368029739777
2012,Mitte,0.5681818181818182
2012,SP,0.35714285714285715
2012,SVP,1.1246485473289598
2013,FDP,0.43668122270742354
2013,GLP,0.78125
2013,Grüne,0.20366598778004072
2013,Mitte,0.5602240896358543
2013,SP,0.2744739249771272
2013,SVP,0.28355387523629494
2014,FDP,0.43988269794721413
2014,GLP,0.8287292817679558
2014,Grüne,0.8421052631578947
2014,Mitte,0.47904191616766467
2014,SP,0.4541326067211626
2014,SVP,0.7292616226071102
2015,FDP,0.15772870662460567
2015,GLP,0.5830903790087464
2015,Grüne,0.8456659619450317
2015,Mitte,0.42194092827004215
2015,SP,1.215277777777778
2015,SVP,1.202749140893471
2016,FDP,0.13404825737265416
2016,GLP,0.6514657980456027
2016,Grüne,0.819672131147541
2016,Mitte,0.2457002457002457
2016,SP,0.45330915684496825
2016,SVP,0.88
2017,FDP,0.0
2017,GLP,0.0
2017,Grüne,0.25316455696202533
2017,Mitte,0.4405286343612335
2017,SP,1.0615711252653928
2017,SVP,0.8525149190110828
2018,FDP,0.30120481927710846
2018,GLP,0.0
2018,Grüne,0.819672131147541
2018,Mitte,0.516795865633075
2018,SP,0.6381039197812215
2018,SVP,0.7109004739336493
2019,FDP,0.38461538461538464
2019,GLP,0.9708737864077669
2019,Grüne,0.411522633744856
2019,Mitte,0.48543689320388345
2019,SP,0.8814102564102564
2019,SVP,1.2135922330097086
2020,FDP,0.4092769440654843
2020,GLP,1.03359173126615
2020,Grüne,1.2403100775193798
2020,Mitte,0.47318611987381703
2020,SP,1.1627906976744187
2020,SVP,1.6129032258064515
2021,FDP,0.0
2021,GLP,0.0
2021,Grüne,0.8025682182985553
2021,Mitte,0.0
2021,SP,0.8724100327153763
2021,SVP,0.5029337803855826
2022,FDP,0.49180327868852464
2022,GLP,1.8404907975460123
2022,Grüne,2.690582959641256
2022,Mitte,0.48465266558966075
2022,SP,1.4857142857142858
2022,SVP,1.4134275618374559
2023,FDP,0.2976190476190476
2023,GLP,0.546448087431694
2023,Grüne,1.103448275862069
2023,Mitte,0.8888888888888888
2023,SP,0.7865168539325843
2023,SVP,1.530612244897959
2024,FDP,0.8912655971479502
2024,GLP,1.4388489208633095
2024,Grüne,1.3924050632911391
2024,Mitte,0.6482982171799028
2024,SP,1.0040160642570282
2024,SVP,1.3215859030837005
2025,FDP,0.6230529595015576
2025,GLP,1.2903225806451613
2025,Grüne,0.8075370121130552
2025,Mitte,1.762114537444934
2025,SP,1.4097744360902256
2025,SVP,0.7336757153338225
