party,CAP_Topic,share_pct
SP,Macroeconomics,15.257620717561371
Grüne,Macroeconomics,10.82485625829279
GLP,Macroeconomics,13.631969062197873
Mitte,Macroeconomics,15.593161802797445
FDP,Macroeconomics,15.432280908822662
SVP,Macroeconomics,14.547870980933395
SP,Health,10.855138926355544
Grüne,Health,9.033613445378151
GLP,Health,9.603609410248147
Mitte,Health,11.215679502676569
FDP,Health,9.825907347300088
SVP,Health,7.964013699330369
SP,Law and Crime,9.43620178041543
Grüne,Law and Crime,10.360459973463069
GLP,Law and Crime,8.443441830486625
Mitte,Law and Crime,8.694525988603004
FDP,Law and Crime,9.59722632044851
SVP,Law and Crime,8.761437407350611
SP,International Affairs,10.288643107634206
Grüne,International Affairs,8.878814683768244
GLP,International Affairs,7.347728005156301
Mitte,International Affairs,7.822483163529615
FDP,International Affairs,9.051342578931838
SVP,International Affairs,9.00168685784389
SP,Government Operations,9.446992176962503
Grüne,Government Operations,5.860238832375055
GLP,Government Operations,5.833064776023203
Mitte,Government Operations,9.33344845449836
FDP,Government Operations,10.976689288875773
SVP,Government Operations,8.771660788222665
SP,Agriculture,5.78904774750472
Grüne,Agriculture,8.923042901371074
GLP,Agriculture,9.829197550757332
Mitte,Agriculture,8.616819202210326
FDP,Agriculture,5.871938624963116
SVP,Agriculture,10.269386085978633
SP,Immigration,6.690045859185326
Grüne,Immigration,7.739938080495357
GLP,Immigration,6.058652916532388
Mitte,Immigration,6.510101882231048
FDP,Immigration,7.037474181174387
SVP,Immigration,9.701988447579614
SP,Domestic Commerce,7.758295117345562
Grüne,Domestic Commerce,5.572755417956656
GLP,Domestic Commerce,9.442475024170157
Mitte,Domestic Commerce,8.288723881885684
FDP,Domestic Commerce,8.59398052522868
SVP,Domestic Commerce,7.023462659101365
SP,Transportation,5.654167790666307
Grüne,Transportation,7.408226448474127
GLP,Transportation,7.702223654527876
Mitte,Transportation,6.786392678293904
FDP,Transportation,6.934198878725288
SVP,Transportation,6.767878137300006
SP,Defense,6.4094955489614245
Grüne,Defense,6.512605042016808
GLP,Defense,6.767644215275539
Mitte,Defense,6.7000518045242625
FDP,Defense,6.705517851873709
SVP,Defense,6.732096304247815
SP,Environment,5.481521445913137
Grüne,Environment,11.620964175143742
GLP,Environment,9.893651305188527
Mitte,Environment,5.223622863063374
FDP,Environment,4.898200059014458
SVP,Environment,4.799877319429536
SP,Civil Rights,6.932829781494471
Grüne,Civil Rights,7.264484741264927
GLP,Civil Rights,5.44634224943603
Mitte,Civil Rights,5.21498877568641
FDP,Civil Rights,5.075243434641488
SVP,Civil Rights,5.6586413126821045
