year,topic_broad,share_pct
1999,Agriculture & Food,2.481389578163772
2000,Agriculture & Food,6.299212598425196
2001,Agriculture & Food,0.9653794940079893
2002,Agriculture & Food,5.019094380796509
2003,Agriculture & Food,10.173697270471465
2004,Agriculture & Food,2.3170089520800423
2005,Agriculture & Food,10.08495478213209
2006,Agriculture & Food,3.445255474452555
2007,Agriculture & Food,9.904706901530465
2008,Agriculture & Food,3.822405174948545
2009,Agriculture & Food,6.796344035622218
2010,Agriculture & Food,5.972474681900805
2011,Agriculture & Food,3.57233341778566
2012,Agriculture & Food,10.421515386604604
2013,Agriculture & Food,7.451604348979051
2014,Agriculture & Food,4.479840716774515
2015,Agriculture & Food,7.4092999489013796
2016,Agriculture & Food,9.333672431332655
2017,Agriculture & Food,8.31146106736658
2018,Agriculture & Food,5.268817204301075
2019,Agriculture & Food,8.34736588886216
2020,Agriculture & Food,3.2770355432316616
2021,Agriculture & Food,10.508113860069166
2022,Agriculture & Food,7.739689341189074
2023,Agriculture & Food,8.157099697885197
2024,Agriculture & Food,6.882793017456359
2025,Agriculture & Food,6.860158311345646
1999,"Budget, Tax & Public Finance",23.573200992555833
2000,"Budget, Tax & Public Finance",15.499378367177789
2001,"Budget, Tax & Public Finance",23.435419440745672
2002,"Budget, Tax & Public Finance",17.321331151118386
2003,"Budget, Tax & Public Finance",23.49048800661704
2004,"Budget, Tax & Public Finance",19.747235387045812
2005,"Budget, Tax & Public Finance",21.266100301452454
2006,"Budget, Tax & Public Finance",21.576642335766426
2007,"Budget, Tax & Public Finance",20.06930407161421
2008,"Budget, Tax & Public Finance",15.64245810055866
2009,"Budget, Tax & Public Finance",19.70939770330443
2010,"Budget, Tax & Public Finance",20.540119449493638
2011,"Budget, Tax & Public Finance",20.319229794780846
2012,"Budget, Tax & Public Finance",20.455133178174297
2013,"Budget, Tax & Public Finance",16.54733492442323
2014,"Budget, Tax & Public Finance",19.288203086112492
2015,"Budget, Tax & Public Finance",17.50127746550843
2016,"Budget, Tax & Public Finance",23.42319430315361
2017,"Budget, Tax & Public Finance",19.101778944298626
2018,"Budget, Tax & Public Finance",15.77956989247312
2019,"Budget, Tax & Public Finance",14.120760163579504
2020,"Budget, Tax & Public Finance",16.183513990420973
2021,"Budget, Tax & Public Finance",16.254322958233573
2022,"Budget, Tax & Public Finance",15.640064274236742
2023,"Budget, Tax & Public Finance",12.28600201409869
2024,"Budget, Tax & Public Finance",13.067331670822943
2025,"Budget, Tax & Public Finance",15.855121132165987
1999,Criminal Justice & Rights,8.188585607940446
2000,Criminal Justice & Rights,10.153336096145877
2001,Criminal Justice & Rights,11.984021304926765
2002,Criminal Justice & Rights,12.056737588652481
2003,Criminal Justice & Rights,7.63716570168183
2004,Criminal Justice & Rights,10.66350710900474
2005,Criminal Justice & Rights,9.67388325568649
2006,Criminal Justice & Rights,10.394160583941606
2007,Criminal Justice & Rights,15.62229280970257
2008,Criminal Justice & Rights,13.231402528668038
2009,Criminal Justice & Rights,14.60042184204359
2010,Criminal Justice & Rights,10.231108802908336
2011,Criminal Justice & Rights,8.487458829490754
2012,Criminal Justice & Rights,11.766227049392294
2013,Criminal Justice & Rights,14.319809069212411
2014,Criminal Justice & Rights,12.493777999004479
2015,Criminal Justice & Rights,13.311190597853859
2016,Criminal Justice & Rights,10.961342828077314
2017,Criminal Justice & Rights,11.286089238845145
2018,Criminal Justice & Rights,17.096774193548388
2019,Criminal Justice & Rights,9.959105123887419
2020,Criminal Justice & Rights,15.553314847491809
2021,Criminal Justice & Rights,12.795956371375366
2022,Criminal Justice & Rights,10.605249062667381
2023,Criminal Justice & Rights,8.333333333333332
2024,Criminal Justice & Rights,12.418952618453865
2025,Criminal Justice & Rights,10.961861357639721
1999,Defense & Military,14.888337468982629
2000,Defense & Military,6.050559469539992
2001,Defense & Military,4.760319573901465
2002,Defense & Military,8.428805237315876
2003,Defense & Military,2.729528535980149
2004,Defense & Military,4.081095313322802
2005,Defense & Military,5.645382296519594
2006,Defense & Military,4.905109489051094
2007,Defense & Military,5.890846087207623
2008,Defense & Military,9.79123787121435
2009,Defense & Military,5.718303257558003
2010,Defense & Military,3.271877434432615
2011,Defense & Military,6.739295667595642
2012,Defense & Military,3.853116110680114
2013,Defense & Military,3.92468841156192
2014,Defense & Military,2.2896963663514187
2015,Defense & Military,7.843638221768012
2016,Defense & Military,1.780264496439471
2017,Defense & Military,4.5785943423738695
2018,Defense & Military,5.10752688172043
2019,Defense & Military,4.450324753427952
2020,Defense & Military,3.5039072346861606
2021,Defense & Military,3.4051609470603887
2022,Defense & Military,5.7043385109801825
2023,Defense & Military,5.236656596173213
2024,Defense & Military,5.261845386533666
2025,Defense & Military,7.987526984888463
1999,Economy & Infrastructure,13.151364764267989
2000,Economy & Infrastructure,10.857853294653957
2001,Economy & Infrastructure,11.484687083888149
2002,Economy & Infrastructure,11.865793780687397
2003,Economy & Infrastructure,10.890543148607664
2004,Economy & Infrastructure,15.587151132174828
2005,Economy & Infrastructure,15.01781309947931
2006,Economy & Infrastructure,16.32116788321168
2007,Economy & Infrastructure,11.204158244296853
2008,Economy & Infrastructure,16.789179653043224
2009,Economy & Infrastructure,9.725802671666276
2010,Economy & Infrastructure,14.515710205141522
2011,Economy & Infrastructure,15.302761591081834
2012,Economy & Infrastructure,17.73985001292992
2013,Economy & Infrastructure,13.444709626093873
2014,Economy & Infrastructure,14.260826281732205
2015,Economy & Infrastructure,13.08124680633623
