year,party,share_words_pct
1999,SP,20.861860304287692
2000,SP,13.263440702256085
2001,SP,14.175557402901562
2002,SP,12.927804968811618
2003,SP,15.77224764330714
2004,SP,22.497005908634915
2005,SP,18.21441573874994
2006,SP,21.560862514909072
2007,SP,22.547709057916226
2008,SP,25.330059282243067
2009,SP,25.361348018291395
2010,SP,21.639757504209715
2011,SP,19.9082792974918
2012,SP,24.833247021648887
2013,SP,25.61489244607953
2014,SP,29.09552053075587
2015,SP,30.66272232928671
2016,SP,28.763237948726537
2017,SP,25.35694382643782
2018,SP,25.87753541211899
2019,SP,26.45529188847785
2020,SP,27.240001741667214
2021,SP,24.53139228979055
2022,SP,19.976940864405393
2023,SP,17.684909346263016
2024,SP,23.011640515237303
2025,SP,22.523190287850127
1999,Grüne,0.0
2000,Grüne,0.0
2001,Grüne,0.0
2002,Grüne,0.0
2003,Grüne,0.0
2004,Grüne,0.0
2005,Grüne,0.0
2006,Grüne,0.0
2007,Grüne,0.025767427793739604
2008,Grüne,4.461065847468946
2009,Grüne,4.990089343825809
2010,Grüne,5.250975865644881
2011,Grüne,5.225936281888447
2012,Grüne,7.699161720189878
2013,Grüne,8.451191098676057
2014,Grüne,5.836368039245903
2015,Grüne,5.918849461633656
2016,Grüne,3.0218350641008005
2017,Grüne,2.9648477831682354
2018,Grüne,4.463361004445436
2019,Grüne,3.2952570002105324
2020,Grüne,10.3279777066597
2021,Grüne,7.634532361968363
2022,Grüne,10.741660171640923
2023,Grüne,11.954812668607328
2024,Grüne,7.565702038250421
2025,Grüne,6.581238646987783
1999,GLP,0.0
2000,GLP,0.0
2001,GLP,0.0
2002,GLP,0.0
2003,GLP,0.0
2004,GLP,0.0
2005,GLP,0.0
2006,GLP,0.0
2007,GLP,0.18678360804476032
2008,GLP,1.5827434219313474
2009,GLP,1.4383130330411558
2010,GLP,2.0751421600237725
2011,GLP,3.3043887169013666
2012,GLP,4.1471468705934695
2013,GLP,3.1035080910349064
2014,GLP,4.938064191706128
2015,GLP,2.7610733626666457
2016,GLP,0.0
2017,GLP,0.0
2018,GLP,0.0
2019,GLP,0.0
2020,GLP,0.0
2021,GLP,0.0
2022,GLP,0.0
2023,GLP,0.0
2024,GLP,1.1701692283675855
2025,GLP,1.4260075149775757
1999,Mitte,29.113934993084374
2000,Mitte,31.82334564044306
2001,Mitte,30.049215507027434
2002,Mitte,37.77106889126385
2003,Mitte,36.330572595394
2004,Mitte,32.025361021865336
2005,Mitte,34.75491778692147
2006,Mitte,32.9092903058649
2007,Mitte,33.44345985180704
2008,Mitte,31.069366388920283
2009,Mitte,30.954634975107137
2010,Mitte,30.844429530472684
2011,Mitte,30.638495033620167
2012,Mitte,29.497187594559133
2013,Mitte,29.59183546128321
2014,Mitte,32.54587397792302
2015,Mitte,26.796683989166837
2016,Mitte,27.705996418441796
2017,Mitte,30.25357231829525
2018,Mitte,31.668419347471627
2019,Mitte,34.05768594544197
2020,Mitte,29.861864019332508
2021,Mitte,33.00501281662113
2022,Mitte,32.99609437236521
2023,Mitte,33.81709976108526
2024,Mitte,35.52287388668323
2025,Mitte,36.59440270555005
1999,FDP,38.63848547717843
2000,FDP,42.45610083342311
2001,FDP,42.787801624498385
2002,FDP,38.91547483713743
2003,FDP,36.33312958584061
2004,FDP,28.766404895431453
2005,FDP,31.369767660184415
2006,FDP,28.48068186386845
2007,FDP,26.908211099349767
2008,FDP,24.60302986715435
2009,FDP,22.454398302720886
2010,FDP,23.91947263836471
2011,FDP,24.400496061703436
2012,FDP,23.231078904028983
2013,FDP,21.938329179764864
2014,FDP,20.48858089311308
2015,FDP,19.581827332204785
2016,FDP,29.93484052256776
2017,FDP,31.26460715658872
2018,FDP,23.945735940047694
2019,FDP,27.07365635056693
2020,FDP,21.601354146256504
2021,FDP,23.860733077000912
2022,FDP,24.55744114645458
2023,FDP,25.43432340388843
2024,FDP,21.010518232869373
2025,FDP,18.993601793158245
1999,SVP,11.385719225449515
2000,SVP,12.457112823877752
2001,SVP,12.987425465572622
2002,SVP,10.3856513027871
2003,SVP,11.564050175458249
2004,SVP,16.711228174068296
2005,SVP,15.660898814144176
2006,SVP,17.049165315357573
2007,SVP,16.88806895508846
2008,SVP,12.953735192282007
2009,SVP,14.801216327013616
2010,SVP,16.27022230128424
2011,SVP,16.522404608394783
2012,SVP,10.592177888979652
2013,SVP,11.300243723161438
2014,SVP,7.095592367255997
2015,SVP,14.27884352504137
2016,SVP,10.574090046163104
2017,SVP,10.160028915509974
2018,SVP,14.044948295916255
2019,SVP,9.118108815302715
2020,SVP,10.968802386084079
2021,SVP,10.968329454619044
2022,SVP,11.727863445133899
2023,SVP,11.108854820155964
2024,SVP,11.719096098592084
2025,SVP,13.881559051476215
