topic,SP_z,SVP_z,svp_minus_sp
Social Policy & Labor,0.4255025745933674,0.24162940726472867,-0.1838731673286387
Transport & Infrastructure,0.4219951319868347,0.2508986713512136,-0.17109646063562112
Healthcare,0.1506194246358839,0.024661919267015702,-0.1259575053688682
Foreign Policy & Security,0.5716133310769944,0.5258178936345029,-0.04579543744249148
Financial Regulation,-0.4692536440430476,-0.47287496320575756,-0.0036213191627099683
Defense & Military,0.16459277072641804,0.17918095873642856,0.014588188010010522
Energy & Environment,-0.4441573384440923,-0.42178249575,0.02237484269409229
Criminal Justice,-0.030869542798070446,0.028743372293795616,0.05961291509186606
Budget & Public Finance,-0.2918390007098039,-0.22842633435251664,0.06341266635728726
Parliamentary Procedure,-0.3646977055536165,-0.2316365416715048,0.13306116388211173
