SpeakerFullName,party,n_speeches,n_reactions,reaction_rate_pct
Brändli Christoffel,SVP,856,56,6.5420560747663545
Bieri Peter,Mitte,1265,54,4.2687747035573125
Frick Bruno,Mitte,960,54,5.625
Büttiker Rolf,FDP,882,53,6.00907029478458
Altherr Hans,FDP,384,52,13.541666666666666
Jenny This,SVP,543,51,9.392265193370166
Schmid-Sutter Carlo,Mitte,462,46,9.956709956709958
Forster-Vannini Erika,FDP,1248,41,3.2852564102564106
Germann Hannes,SVP,1335,40,2.9962546816479403
Plattner Gian-Reto,SP,459,33,7.18954248366013
Rieder Beat,Mitte,974,32,3.285420944558522
Schiesser Fritz,FDP,858,31,3.613053613053613
Stöckli Hans,SP,585,31,5.299145299145299
Berset Alain,SP,603,30,4.975124378109453
Comte Raphaël,FDP,268,29,10.820895522388058
Fournier Jean-René,Mitte,302,29,9.602649006622517
Zanetti Roberto,SP,505,29,5.742574257425743
Inderkum Hansheiri,Mitte,795,28,3.5220125786163523
Keller-Sutter Karin,FDP,226,27,11.946902654867257
Lombardi Filippo,Mitte,730,27,3.6986301369863015
Hefti Thomas,FDP,314,26,8.280254777070063
Schweiger Rolf,FDP,768,26,3.3854166666666665
Hêche Claude,SP,437,23,5.263157894736842
Ettlin Erich,Mitte,652,23,3.52760736196319
Bischofberger Ivo,Mitte,471,23,4.8832271762208075
