topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Macroeconomics,SP,-0.2799639157619681,0.4742571918358153,-0.16858221568362242,0.6428394075194377,14.559721011333915,20.154291224686595,11.976047904191617,11.004784688995215,167,209
Macroeconomics,Grüne,-0.2799639157619681,0.4821600771456124,0.2410800385728062,0.2410800385728062,0.0,2.2179363548698166,,21.73913043478261,0,23
Macroeconomics,GLP,-0.2799639157619681,0.0,0.0,0.0,0.0,0.6750241080038573,,0.0,0,7
Macroeconomics,Mitte,-0.2799639157619681,-0.4900629624554095,-0.6992012374149348,0.2091382749595253,32.60680034873583,37.41562198649952,5.347593582887701,3.350515463917526,374,388
Macroeconomics,FDP,-0.2799639157619681,-0.6736789360362322,0.041463926505495866,-0.7151428625417281,34.350479511769834,21.11861137897782,5.32994923857868,5.47945205479452,394,219
Macroeconomics,SVP,-0.2799639157619681,-0.072639286251754,-0.06880530259487735,-0.0038339836568766546,18.48299912816042,18.418514946962393,6.132075471698113,5.7591623036649215,212,191
Health,SP,1.4081790647452699,1.8702378203648113,1.192890674008464,0.6773471463563474,18.450704225352112,24.975891996142717,7.633587786259542,13.127413127413126,131,259
Health,Grüne,1.4081790647452699,1.8322082931533268,0.9161041465766634,0.9161041465766634,0.0,5.785920925747348,,31.666666666666664,0,60
Health,GLP,1.4081790647452699,0.0,0.0,0.0,0.0,0.0,,,0,0
Health,Mitte,1.4081790647452699,0.6242275252285167,0.35839508299255884,0.2658324422359578,31.971830985915496,36.54773384763742,5.286343612334802,6.33245382585752,227,379
Health,FDP,1.4081790647452699,-4.002064460048623,-1.8801150643409599,-2.1219493957076634,43.38028169014084,20.829315332690452,12.337662337662337,6.481481481481481,308,216
Health,SVP,1.4081790647452699,1.083569886047238,0.23690701972330502,0.8466628663239331,6.197183098591549,11.861137897782063,13.636363636363635,16.260162601626014,44,123
Law and Crime,SP,3.354697963319285,1.698719112322727,0.16362576543202847,1.5350933468906984,14.082503556187767,38.167053364269144,6.0606060606060606,6.68693009118541,99,329
Law and Crime,Grüne,3.354697963319285,0.580046403712297,0.2900232018561485,0.2900232018561485,0.0,7.424593967517401,,7.8125,0,64
Law and Crime,GLP,3.354697963319285,0.0,0.0,0.0,0.0,0.11600928074245939,,0.0,0,1
Law and Crime,Mitte,3.354697963319285,2.0426214467000885,2.6194029379493493,-0.5767814912492607,36.273115220483646,30.39443155452436,5.88235294117647,13.740458015267176,255,262
Law and Crime,FDP,3.354697963319285,-2.538342469958052,-0.7940106646596005,-1.7443318052984516,40.82503556187766,18.213457076566126,9.059233449477352,6.369426751592357,287,157
Law and Crime,SVP,3.354697963319285,1.571653470542223,2.1340351503524193,-0.5623816798101963,8.819345661450924,5.68445475638051,3.225806451612903,32.6530612244898,62,49
International Affairs,SP,7.685621837458262,7.333080903698093,2.424536155353359,4.908544748344735,9.352517985611511,32.535885167464116,15.384615384615385,26.96078431372549,52,204
International Affairs,Grüne,7.685621837458262,1.4354066985645932,0.7177033492822966,0.7177033492822966,0.0,4.146730462519936,,34.61538461538461,0,26
International Affairs,GLP,7.685621837458262,0.3189792663476874,0.1594896331738437,0.1594896331738437,0.0,0.7974481658692184,,40.0,0,5
International Affairs,Mitte,7.685621837458262,0.6887313116014363,1.5323349029738813,-0.843603591372445,32.194244604316545,26.31578947368421,11.731843575418994,16.969696969696972,179,165
International Affairs,FDP,7.685621837458262,-1.4660998473948115,1.2124007405456272,-2.6785005879404387,39.92805755395683,19.776714513556616,11.26126126126126,15.32258064516129,222,124
International Affairs,SVP,7.685621837458262,-0.6244764953587365,-0.3393457482817572,-0.2851307470769793,18.525179856115106,16.427432216905903,14.563106796116504,12.62135922330097,103,103
Government Operations,SP,-1.3964891882669632,-0.2509199824907483,-0.5523866638328137,0.30146668134206533,14.648602878916172,16.824966078697422,15.606936416184972,12.096774193548388,173,124
Government Operations,Grüne,-1.3964891882669632,0.271370420624152,0.135685210312076,0.135685210312076,0.0,8.276797829036635,,3.278688524590164,0,61
Government Operations,GLP,-1.3964891882669632,0.0,0.0,0.0,0.0,0.13568521031207598,,0.0,0,1
Government Operations,Mitte,-1.3964891882669632,-0.7936608237390523,-0.7701693801666568,-0.023491443572395573,41.49026248941575,40.97693351424695,5.510204081632653,3.642384105960265,490,302
Government Operations,FDP,-1.3964891882669632,-0.6590096243438338,-0.27191242400004245,-0.38709720034379136,32.00677392040643,23.473541383989144,5.026455026455026,4.046242774566474,378,173
Government Operations,SVP,-1.3964891882669632,0.03573082168251951,0.20416454850638927,-0.16843372682386976,11.854360711261643,10.312075983717776,10.0,11.842105263157894,140,76
Agriculture,SP,3.2664509169363534,0.9924487594390509,0.7517529665587919,0.240695792880259,12.222222222222221,14.239482200647249,9.090909090909092,14.772727272727273,55,88
Agriculture,Grüne,3.2664509169363534,3.2362459546925564,1.6181229773462782,1.6181229773462782,0.0,13.106796116504855,,24.691358024691358,0,81
Agriculture,GLP,3.2664509169363534,0.0,0.0,0.0,0.0,0.8090614886731391,,0.0,0,5
Agriculture,Mitte,3.2664509169363534,-1.0679611650485443,-0.9407925023533215,-0.12716866269522295,34.88888888888889,33.33333333333333,9.554140127388536,6.796116504854369,157,206
Agriculture,FDP,3.2664509169363534,-1.5339805825242718,0.27111746802280806,-1.80509805054708,42.0,15.53398058252427,6.349206349206349,7.291666666666667,189,96
Agriculture,SVP,3.2664509169363534,1.639697950377562,0.2993350765713093,1.3403628738062525,10.888888888888888,22.97734627831715,10.204081632653061,11.971830985915492,49,142
Immigration,SP,0.7627660546268372,-1.2240796565269032,-0.9325888164570808,-0.2914908400698224,18.258426966292134,17.276422764227643,32.30769230769231,27.058823529411764,65,85
Immigration,Grüne,0.7627660546268372,1.6260162601626014,0.8130081300813007,0.8130081300813007,0.0,8.333333333333332,,19.51219512195122,0,41
Immigration,GLP,0.7627660546268372,0.20325203252032523,0.10162601626016261,0.10162601626016261,0.0,2.0325203252032518,,10.0,0,10
Immigration,Mitte,0.7627660546268372,0.11418653512377808,-0.2686683835733322,0.3828549186971103,26.12359550561798,30.284552845528456,9.67741935483871,8.724832214765101,93,149
Immigration,FDP,0.7627660546268372,-1.4638713802868366,-0.1295946713599196,-1.334276708926917,41.29213483146067,22.96747967479675,7.482993197278912,7.079646017699115,147,113
Immigration,SVP,0.7627660546268372,1.5072622636338726,0.33473375472880856,1.172528508905064,14.325842696629213,19.10569105691057,23.52941176470588,25.53191489361702,51,94
