CantonName,speech_share,mp_share,gap_pp
Neuenburg,3.3399530601191554,7.28476821192053,-3.9448151518013743
Jura,3.0528976349521573,5.298013245033113,-2.2451156100809557
Waadt,3.740747427333454,5.298013245033113,-1.5572658176996592
Bern,4.607329842931937,5.960264900662252,-1.3529350577303152
Zürich,4.141541794547752,5.298013245033113,-1.1564714504853608
Aargau,4.177649395197689,5.298013245033113,-1.1203638498354236
Nidwalden,1.0362881386531864,1.9867549668874174,-0.950466828234231
Freiburg,4.894385268098935,5.298013245033113,-0.4036279769341782
Schwyz,4.271529156887524,4.635761589403973,-0.36423243251644877
Tessin,3.6270084852861526,3.9735099337748347,-0.34650144848868214
Appenzell A.-Rh.,1.7277486910994764,1.9867549668874174,-0.259006275787941
Glarus,4.470120960462178,4.635761589403973,-0.16564062894179532
Wallis,3.816573388698321,3.9735099337748347,-0.15693654507651367
Schaffhausen,3.1919118974544145,3.3112582781456954,-0.1193463806912809
Uri,3.921285430583138,3.9735099337748347,-0.05222450319169658
Basel-Landschaft,2.0310525365589456,1.9867549668874174,0.0442975696715282
Genf,4.42318107961726,3.9735099337748347,0.4496711458424252
Obwalden,1.9100920743816574,1.3245033112582782,0.5855887631233792
Appenzell I.-Rh.,2.7694529698501533,1.9867549668874174,0.782698002962736
Luzern,5.185051453330926,3.9735099337748347,1.2115415195560915
Basel-Stadt,3.2189925979418668,1.9867549668874174,1.2322376310544494
Solothurn,4.679545044231811,3.3112582781456954,1.3682867660861158
Thurgau,4.728290305109225,3.3112582781456954,1.41703202696353
Zug,5.528073659505326,3.3112582781456954,2.2168153813596305
St. Gallen,6.197869651561653,3.9735099337748347,2.2243597177868186
Graubünden,5.311428055605704,2.6490066225165565,2.662421433089148
