canton,n_speeches,n_mps,speeches_per_mp
Graubünden,2942,4,735.5
Zug,3062,5,612.4
Basel-Stadt,1783,3,594.3333333333334
St. Gallen,3433,6,572.1666666666666
Obwalden,1058,2,529.0
Thurgau,2619,5,523.8
Solothurn,2592,5,518.4
Appenzell I.-Rh.,1534,3,511.3333333333333
Luzern,2872,6,478.6666666666667
Genf,2450,6,408.3333333333333
Basel-Landschaft,1125,3,375.0
Uri,2172,6,362.0
Glarus,2476,7,353.7142857142857
Schaffhausen,1768,5,353.6
Wallis,2114,6,352.3333333333333
Freiburg,2711,8,338.875
Schwyz,2366,7,338.0
Tessin,2009,6,334.8333333333333
Appenzell A.-Rh.,957,3,319.0
Aargau,2314,8,289.25
Zürich,2294,8,286.75
Bern,2552,9,283.55555555555554
Waadt,2072,8,259.0
Jura,1691,8,211.375
Nidwalden,574,3,191.33333333333334
Neuenburg,1850,11,168.1818181818182
