year,party,share_emotion_pct
1999,FDP,2.0
1999,Mitte,2.4691358024691357
1999,SP,5.47945205479452
1999,SVP,6.666666666666667
2000,FDP,7.3138297872340425
2000,Mitte,8.46286701208981
2000,SP,13.829787234042554
2000,SVP,13.114754098360656
2001,FDP,9.161290322580646
2001,Mitte,9.01639344262295
2001,SP,13.389121338912133
2001,SVP,17.346938775510203
2002,FDP,6.970509383378016
2002,Mitte,5.658536585365854
2002,SP,11.525423728813559
2002,SVP,7.929515418502203
2003,FDP,7.731305449936629
2003,Mitte,4.239130434782608
2003,SP,8.982035928143713
2003,SVP,13.82488479262673
2004,FDP,7.0588235294117645
2004,Mitte,7.470288624787775
2004,SP,13.77245508982036
2004,SVP,8.333333333333332
2005,FDP,7.349397590361447
2005,Mitte,5.605605605605605
2005,SP,17.29559748427673
2005,SVP,11.62079510703364
2006,FDP,4.410143329658213
2006,Mitte,5.44378698224852
2006,SP,14.000000000000002
2006,SVP,8.010335917312661
2007,FDP,6.081081081081082
2007,GLP,25.0
2007,Grüne,0.0
2007,Mitte,4.129793510324483
2007,SP,13.06532663316583
2007,SVP,9.151785714285714
2008,FDP,8.037825059101655
2008,GLP,36.0
2008,Grüne,16.25
2008,Mitte,5.177993527508091
2008,SP,10.548523206751055
2008,SVP,9.336609336609335
2009,FDP,9.800664451827243
2009,GLP,22.58064516129032
2009,Grüne,25.0
2009,Mitte,5.85305105853051
2009,SP,8.035714285714286
2009,SVP,18.997361477572557
2010,FDP,6.45879732739421
2010,GLP,12.76595744680851
2010,Grüne,24.03846153846154
2010,Mitte,7.502799552071669
2010,SP,13.983050847457626
2010,SVP,10.450819672131148
2011,FDP,8.687943262411348
2011,GLP,5.88235294117647
2011,Grüne,16.483516483516482
2011,Mitte,5.772005772005772
2011,SP,14.918414918414918
2011,SVP,10.854503464203233
2012,FDP,6.238185255198488
2012,GLP,7.291666666666667
2012,Grüne,16.89189189189189
2012,Mitte,4.407294832826747
2012,SP,12.0
2012,SVP,19.844357976653697
2013,FDP,6.188118811881188
2013,GLP,11.940298507462686
2013,Grüne,13.095238095238097
2013,Mitte,5.593220338983051
2013,SP,15.513126491646778
2013,SVP,19.796954314720814
2014,FDP,6.828193832599119
2014,GLP,3.508771929824561
2014,Grüne,19.841269841269842
2014,Mitte,4.806408544726302
2014,SP,10.95890410958904
2014,SVP,20.754716981132077
2015,FDP,7.281553398058252
2015,GLP,7.042253521126761
2015,Grüne,21.84873949579832
2015,Mitte,3.924646781789639
2015,SP,9.078014184397164
2015,SVP,14.432989690721648
2016,FDP,6.218487394957983
2016,Grüne,9.523809523809524
2016,Mitte,6.5764023210831715
2016,SP,11.967545638945234
2016,SVP,14.207650273224044
2017,FDP,7.317073170731707
2017,Grüne,15.151515151515152
2017,Mitte,7.773109243697479
2017,SP,10.41095890410959
2017,SVP,20.0
2018,FDP,10.189573459715639
2018,Grüne,14.893617021276595
2018,Mitte,7.127882599580712
2018,SP,12.254901960784313
2018,SVP,19.262295081967213
2019,FDP,8.47457627118644
2019,Grüne,7.317073170731707
2019,Mitte,6.218487394957983
2019,SP,15.859030837004406
2019,SVP,16.83673469387755
2020,FDP,7.339449541284404
2020,Grüne,25.64102564102564
2020,Mitte,6.804733727810651
2020,SP,11.842105263157894
2020,SVP,14.624505928853754
2021,FDP,4.150197628458498
2021,Grüne,15.384615384615385
2021,Mitte,5.6356487549148095
2021,SP,10.433070866141732
2021,SVP,14.606741573033707
2022,FDP,8.024691358024691
2022,Grüne,15.527950310559005
2022,Mitte,5.932203389830509
2022,SP,13.966480446927374
2022,SVP,6.666666666666667
2023,FDP,6.2761506276150625
2023,Grüne,21.22905027932961
2023,Mitte,9.067017082785808
2023,SP,17.252396166134183
2023,SVP,13.545816733067728
2024,FDP,5.274725274725275
2024,GLP,5.555555555555555
2024,Grüne,17.985611510791365
2024,Mitte,8.849557522123893
2024,SP,13.572854291417165
2024,SVP,10.451977401129943
2025,FDP,10.37037037037037
2025,GLP,7.4074074074074066
2025,Grüne,13.076923076923078
2025,Mitte,12.467866323907455
2025,SP,20.33096926713948
2025,SVP,14.066496163682865
