CAP_Topic,party,early_pct,late_pct,shift_pp
Agriculture,FDP,6.349206349206349,7.291666666666667,0.9424603174603181
Agriculture,Mitte,9.554140127388536,6.796116504854369,-2.758023622534167
Agriculture,SP,9.090909090909092,14.772727272727273,5.681818181818182
Agriculture,SVP,10.204081632653061,11.971830985915492,1.767749353262431
Civil Rights,FDP,18.471337579617835,10.975609756097562,-7.495727823520273
Civil Rights,Mitte,15.151515151515152,32.8125,17.660984848484848
Civil Rights,SP,20.754716981132077,27.350427350427353,6.595710369295276
Civil Rights,SVP,27.906976744186046,31.11111111111111,3.2041343669250644
Culture,FDP,23.076923076923077,15.0,-8.076923076923077
Culture,Mitte,8.51063829787234,11.11111111111111,2.6004728132387704
Culture,SP,36.36363636363637,9.615384615384617,-26.74825174825175
Culture,SVP,41.66666666666667,6.666666666666667,-35.00000000000001
Defense,FDP,9.210526315789473,6.015037593984962,-3.1954887218045105
Defense,Mitte,2.564102564102564,19.760479041916167,17.1963764778136
Defense,SP,8.571428571428571,21.951219512195124,13.379790940766553
Defense,SVP,9.67741935483871,13.385826771653544,3.7084074168148344
Domestic Commerce,FDP,7.100591715976331,4.411764705882353,-2.688827010093978
Domestic Commerce,Mitte,2.8688524590163933,4.98220640569395,2.113353946677557
Domestic Commerce,SP,11.267605633802818,6.0344827586206895,-5.233122875182128
Domestic Commerce,SVP,12.5,15.789473684210526,3.2894736842105257
Education,FDP,6.790123456790123,3.7735849056603774,-3.016538551129746
Education,Mitte,4.678362573099415,5.633802816901409,0.955440243801994
Education,SP,13.043478260869565,10.0,-3.0434782608695645
Education,SVP,9.375,3.8461538461538463,-5.528846153846153
Energy,FDP,2.5,3.3783783783783785,0.8783783783783785
Energy,Mitte,12.068965517241379,2.73972602739726,-9.329239489844118
Energy,SP,14.285714285714285,6.779661016949152,-7.5060532687651325
Energy,SVP,4.545454545454546,2.7777777777777777,-1.7676767676767682
Environment,FDP,2.3529411764705883,3.731343283582089,1.378402107111501
Environment,Mitte,6.976744186046512,5.617977528089887,-1.3587666579566244
Environment,SP,16.216216216216218,14.444444444444443,-1.7717717717717747
Environment,SVP,17.02127659574468,4.166666666666666,-12.854609929078014
Foreign Trade,FDP,3.7735849056603774,3.4482758620689653,-0.3253090435914121
Foreign Trade,Mitte,2.1739130434782608,5.555555555555555,3.3816425120772946
Foreign Trade,SP,16.666666666666664,4.761904761904762,-11.904761904761902
Foreign Trade,SVP,10.714285714285714,16.666666666666664,5.952380952380951
Government Operations,FDP,5.026455026455026,4.046242774566474,-0.9802122518885517
Government Operations,Mitte,5.510204081632653,3.642384105960265,-1.8678199756723886
Government Operations,SP,15.606936416184972,12.096774193548388,-3.510162222636584
Government Operations,SVP,10.0,11.842105263157894,1.8421052631578938
Health,FDP,12.337662337662337,6.481481481481481,-5.856180856180856
Health,Mitte,5.286343612334802,6.33245382585752,1.0461102135227183
Health,SP,7.633587786259542,13.127413127413126,5.493825341153584
Health,SVP,13.636363636363635,16.260162601626014,2.623798965262379
Housing,FDP,2.380952380952381,4.285714285714286,1.9047619047619047
Housing,Mitte,4.054054054054054,4.605263157894736,0.5512091038406819
Housing,SP,6.451612903225806,16.304347826086957,9.852734922861151
Housing,SVP,2.7777777777777777,7.936507936507936,5.158730158730158
Immigration,FDP,7.482993197278912,7.079646017699115,-0.4033471795797965
Immigration,Mitte,9.67741935483871,8.724832214765101,-0.952587140073609
Immigration,SP,32.30769230769231,27.058823529411764,-5.248868778280542
Immigration,SVP,23.52941176470588,25.53191489361702,2.0025031289111404
International Affairs,FDP,11.26126126126126,15.32258064516129,4.061319383900029
International Affairs,Mitte,11.731843575418994,16.969696969696972,5.237853394277979
International Affairs,SP,15.384615384615385,26.96078431372549,11.576168929110105
International Affairs,SVP,14.563106796116504,12.62135922330097,-1.9417475728155331
Labor,FDP,5.714285714285714,5.063291139240507,-0.6509945750452077
Labor,Mitte,3.875968992248062,5.555555555555555,1.6795865633074936
Labor,SP,17.333333333333336,15.74074074074074,-1.5925925925925952
Labor,SVP,5.357142857142857,9.75609756097561,4.398954703832753
Law and Crime,FDP,9.059233449477352,6.369426751592357,-2.689806697884995
Law and Crime,Mitte,5.88235294117647,13.740458015267176,7.858105074090706
Law and Crime,SP,6.0606060606060606,6.68693009118541,0.6263240305793492
Law and Crime,SVP,3.225806451612903,32.6530612244898,29.427254772876893
Macroeconomics,FDP,5.32994923857868,5.47945205479452,0.14950281621583983
Macroeconomics,Mitte,5.347593582887701,3.350515463917526,-1.9970781189701747
Macroeconomics,SP,11.976047904191617,11.004784688995215,-0.9712632151964016
Macroeconomics,SVP,6.132075471698113,5.7591623036649215,-0.3729131680331914
Public Lands,FDP,0.0,42.857142857142854,42.857142857142854
Public Lands,Mitte,8.333333333333332,12.5,4.166666666666668
Public Lands,SP,0.0,0.0,0.0
Public Lands,SVP,7.6923076923076925,22.22222222222222,14.529914529914528
Social Welfare,FDP,11.194029850746269,12.121212121212121,0.9271822704658526
Social Welfare,Mitte,4.273504273504273,12.068965517241379,7.795461243737106
Social Welfare,SP,19.298245614035086,18.81188118811881,-0.4863644259162747
Social Welfare,SVP,22.58064516129032,23.076923076923077,0.49627791563275636
Technology,FDP,8.333333333333332,6.153846153846154,-2.179487179487178
Technology,Mitte,2.564102564102564,8.547008547008547,5.982905982905983
Technology,SP,24.137931034482758,12.5,-11.637931034482758
Technology,SVP,12.0,4.0,-8.0
Transportation,FDP,11.864406779661017,5.777777777777778,-6.08662900188324
