CAP_Topic,share_emotion_pct
Civil Rights,22.30311052283256
International Affairs,14.582484725050918
Immigration,14.217758985200845
Social Welfare,13.661202185792352
Culture,10.865191146881289
Defense,10.712313638873551
Health,10.347659457979743
Agriculture,10.272277227722771
Labor,9.5679012345679
Environment,9.338747099767982
Public Lands,9.230769230769232
Transportation,8.703772880089652
Law and Crime,8.203017832647461
Government Operations,8.007448789571695
Education,7.447577729573392
Technology,7.384341637010676
Domestic Commerce,7.343475716793446
Macroeconomics,7.108336689488522
Foreign Trade,6.837606837606838
Housing,6.4491654021244305
Energy,5.631578947368421
