year,party,emotionality_z
1999,FDP,-0.2689181603125
1999,Mitte,-0.36522584078260867
1999,SP,-0.5682830061034483
1999,SVP,0.1786673447368421
2000,FDP,-0.14705493075477388
2000,Mitte,-0.26314251533460314
2000,SP,-0.12375882521374049
2000,SVP,-0.1062254119266055
2001,FDP,-0.11561374981611003
2001,Mitte,-0.19382910801491804
2001,SP,-0.1124598575
2001,SVP,0.09908566225362318
2002,FDP,-0.20086915424427967
2002,Mitte,-0.39207726957595995
2002,SP,-0.23861489439822062
2002,SVP,-0.2126879170286624
2003,FDP,-0.17622770195777282
2003,Mitte,-0.36803170051798784
2003,SP,-0.37306398479951575
2003,SVP,-0.09036633469027779
2004,FDP,-0.0828354816321839
2004,Mitte,-0.2769644050528846
2004,SP,-0.13756096578655913
2004,SVP,-0.08046333034481482
2005,FDP,-0.24148942003005
2005,Mitte,-0.303596342001983
2005,SP,-0.224506774240942
2005,SVP,-0.13030684724299066
2006,FDP,-0.25752451879967636
2006,Mitte,-0.3839708088892583
2006,SP,-0.11732099149326598
2006,SVP,-0.2625069739837838
2007,FDP,-0.21931701031851852
2007,Grüne,0.45511082
2007,Mitte,-0.2980928875088957
2007,SP,-0.1378751424148699
2007,SVP,-0.052328151845679016
2008,FDP,-0.12258256477307693
2008,Grüne,0.08994988404583333
2008,Mitte,-0.3691476627463636
2008,SP,-0.006839515719087136
2008,SVP,-0.08893373742520326
2009,FDP,-0.12457890093944281
2009,Grüne,0.21144185477419353
2009,Mitte,-0.2905475232544304
2009,SP,-0.13831255015175717
2009,SVP,0.10400463522531644
2010,FDP,-0.17669796671681415
2010,Grüne,0.09604603219148936
2010,Mitte,-0.2878328653162413
2010,SP,-0.013011631608708708
2010,SVP,0.07525556803035714
2011,FDP,-0.21307051721342757
2011,Grüne,0.015845977378378374
2011,Mitte,-0.21508256414243543
2011,SP,0.004550135301115241
2011,SVP,-0.10683752037113403
2012,FDP,-0.2933796059832653
2012,Grüne,-0.05315326904651163
2012,Mitte,-0.269808349233762
2012,SP,-0.06404916221643916
2012,SVP,0.09336662569595239
2013,FDP,-0.1488675550737089
2013,Grüne,0.128366541727957
2013,Mitte,-0.3172153209776062
2013,SP,0.10384980904687499
2013,SVP,0.0036431943858757088
2014,FDP,-0.32915034132597826
2014,Grüne,-0.08850616663030303
2014,Mitte,-0.37044199036946107
2014,SP,-0.1911164333121774
2014,SVP,-0.2934336773913043
2015,FDP,-0.1141306265201581
2015,Grüne,-0.09027496526126126
2015,Mitte,-0.2952633783190662
2015,SP,-0.1526211676927835
2015,SVP,-0.20025158507051471
2016,FDP,-0.13219579690604652
2016,Grüne,-0.043579709281249976
2016,Mitte,-0.11121097587888888
2016,SP,-0.07973895644708934
2016,SVP,-0.21579739883802818
2017,FDP,0.007710530911016955
2017,Grüne,-0.19959936972413792
2017,Mitte,-0.1432667746560538
2017,SP,-0.09023661405363984
2017,SVP,-0.07553396800757574
2018,FDP,0.01323279279066667
2018,Grüne,-0.372673174
2018,Mitte,-0.12574880930000001
2018,SP,-0.07548187949784173
2018,SVP,0.05614080052447552
2019,FDP,-0.13885886893514493
2019,Grüne,-0.040543611999999986
2019,Mitte,-0.15100054854554454
2019,SP,-0.05843712158252427
2019,SVP,-0.2060581936259542
2020,FDP,-0.15158555649736843
2020,Grüne,0.03958756753597123
2020,Mitte,-0.128666593
2020,SP,0.12466942556022727
2020,SVP,0.12133511918518518
2021,FDP,-0.27640841902054797
2021,Grüne,0.11321144509203539
2021,Mitte,-0.1598528193187675
2021,SP,-0.04405537256848485
2021,SVP,0.01423094896067416
2022,FDP,-0.12992328969746833
2022,Grüne,-0.024744379283333326
2022,Mitte,-0.1987067035159664
2022,SP,0.029340454220318724
2022,SVP,-0.14953610635928144
2023,FDP,-0.08127317840495867
2023,Grüne,0.0066292017132352984
2023,Mitte,-0.05298694717016129
2023,SP,0.1575303416323276
2023,SVP,-0.07940688722702702
2024,FDP,-0.14233262092116183
2024,Grüne,-0.11281779006725663
2024,Mitte,-0.13267080583728813
2024,SP,-0.017793291346666667
2024,SVP,-0.09949898997391303
2025,FDP,-0.09491089331553786
2025,Grüne,0.2258089853716814
2025,Mitte,0.013925754752136756
2025,SP,0.14994946039701493
2025,SVP,-0.007237086926865676
