year,emotionality_z
1999,-0.3102677717333333
2000,-0.1875483667339759
2001,-0.11435872776091774
2002,-0.2850280408076209
2003,-0.2750590808594753
2004,-0.15923382653057544
2005,-0.23621465143943685
2006,-0.2649033733039763
2007,-0.19661222415270144
2008,-0.1380141061951077
2009,-0.1132895678469543
2010,-0.11428844104799436
2011,-0.12549607835380386
2012,-0.1365325126041968
2013,-0.06407974075508475
2014,-0.2743941601821906
2015,-0.17712002827764634
2016,-0.11745154974278331
2017,-0.07881887312179342
2018,-0.0529846358400881
2019,-0.12514377321522158
2020,-0.021652112057424892
2021,-0.10786691778582677
2022,-0.10804550713798586
2023,-0.01424243099108826
2024,-0.09729451028916843
2025,0.04165895402741228
