year,party,disgust_share_pct
1999,FDP,0.0
1999,Mitte,0.0
1999,SP,0.0
1999,SVP,3.3333333333333335
2000,FDP,0.13297872340425532
2000,Mitte,0.3454231433506045
2000,SP,0.0
2000,SVP,0.0
2001,FDP,0.0
2001,Mitte,0.0
2001,SP,0.0
2001,SVP,0.5102040816326531
2002,FDP,0.0
2002,Mitte,0.0
2002,SP,0.0
2002,SVP,0.0
2003,FDP,0.0
2003,Mitte,0.10869565217391304
2003,SP,0.0
2003,SVP,0.0
2004,FDP,0.0
2004,Mitte,0.1697792869269949
2004,SP,0.0
2004,SVP,0.0
2005,FDP,0.24096385542168677
2005,Mitte,0.20020020020020018
2005,SP,0.0
2005,SVP,0.0
2006,FDP,0.0
2006,Mitte,0.1183431952662722
2006,SP,0.0
2006,SVP,0.0
2007,FDP,0.0
2007,GLP,0.0
2007,Grüne,0.0
2007,Mitte,0.0
2007,SP,0.0
2007,SVP,0.0
2008,FDP,0.2364066193853428
2008,GLP,0.0
2008,Grüne,0.0
2008,Mitte,0.0
2008,SP,0.21097046413502107
2008,SVP,0.0
2009,FDP,0.0
2009,GLP,0.0
2009,Grüne,0.0
2009,Mitte,0.0
2009,SP,0.0
2009,SVP,0.2638522427440633
2010,FDP,0.0
2010,GLP,0.0
2010,Grüne,0.0
2010,Mitte,0.0
2010,SP,0.211864406779661
2010,SVP,0.4098360655737705
2011,FDP,0.0
2011,GLP,0.0
2011,Grüne,0.0
2011,Mitte,0.1443001443001443
2011,SP,0.2331002331002331
2011,SVP,0.23094688221709006
2012,FDP,0.0
2012,GLP,0.0
2012,Grüne,0.0
2012,Mitte,0.0
2012,SP,0.4
2012,SVP,0.38910505836575876
2013,FDP,0.0
2013,GLP,0.0
2013,Grüne,0.0
2013,Mitte,0.1694915254237288
2013,SP,0.7159904534606205
2013,SVP,0.0
2014,FDP,0.0
2014,GLP,0.0
2014,Grüne,0.0
2014,Mitte,0.0
2014,SP,0.0
2014,SVP,0.0
2015,FDP,0.0
2015,GLP,0.0
2015,Grüne,0.0
2015,Mitte,0.0
2015,SP,0.14184397163120568
2015,SVP,0.3436426116838488
2016,FDP,0.0
2016,Grüne,0.0
2016,Mitte,0.0
2016,SP,0.2028397565922921
2016,SVP,0.0
2017,FDP,0.0
2017,Grüne,0.0
2017,Mitte,0.0
2017,SP,0.0
2017,SVP,0.0
2018,FDP,0.0
2018,Grüne,0.0
2018,Mitte,0.0
2018,SP,0.0
2018,SVP,0.0
2019,FDP,0.0
2019,Grüne,0.0
2019,Mitte,0.0
2019,SP,0.0
2019,SVP,0.0
2020,FDP,0.0
2020,Grüne,0.0
2020,Mitte,0.0
2020,SP,0.0
2020,SVP,0.0
2021,FDP,0.1976284584980237
2021,Grüne,0.7692307692307693
2021,Mitte,0.0
2021,SP,0.0
2021,SVP,0.0
2022,FDP,0.0
2022,Grüne,0.6211180124223602
2022,Mitte,0.0
2022,SP,0.27932960893854747
2022,SVP,0.0
2023,FDP,0.0
2023,Grüne,1.1173184357541899
2023,Mitte,0.0
2023,SP,0.0
2023,SVP,0.398406374501992
2024,FDP,0.0
2024,GLP,0.0
2024,Grüne,0.0
2024,Mitte,0.0
2024,SP,0.0
2024,SVP,0.0
2025,FDP,0.0
2025,GLP,0.0
2025,Grüne,0.0
2025,Mitte,0.0
2025,SP,0.0
2025,SVP,0.0
