party,dominant_emotion,share_pct
SP,anger,36.48366921473245
Grüne,anger,34.43526170798898
GLP,anger,35.18518518518518
Mitte,anger,30.801335559265443
FDP,anger,31.767955801104975
SVP,anger,54.79876160990712
SP,disgust,0.7644197359277276
Grüne,disgust,1.1019283746556474
GLP,disgust,0.0
Mitte,disgust,0.7512520868113522
FDP,disgust,0.46040515653775327
SVP,disgust,0.9287925696594427
SP,enthusiasm,43.43293954134816
Grüne,enthusiasm,39.66942148760331
GLP,enthusiasm,46.2962962962963
Mitte,enthusiasm,42.07011686143572
FDP,enthusiasm,44.10681399631676
SVP,enthusiasm,29.61816305469556
SP,fear,5.628908964558722
Grüne,fear,7.7134986225895315
GLP,fear,7.4074074074074066
Mitte,fear,7.6794657762938225
FDP,fear,7.550644567219153
SVP,fear,6.191950464396285
SP,hope,8.269631688672689
Grüne,hope,11.570247933884298
GLP,hope,5.555555555555555
Mitte,hope,6.67779632721202
FDP,hope,5.70902394106814
SVP,hope,2.3735810113519094
SP,joy,0.7644197359277276
Grüne,joy,0.27548209366391185
GLP,joy,0.0
Mitte,joy,2.671118530884808
FDP,joy,2.4861878453038675
SVP,joy,0.8255933952528379
SP,none,1.8068102849200833
Grüne,none,1.3774104683195594
GLP,none,1.8518518518518516
Mitte,none,4.2570951585976635
FDP,none,3.4990791896869244
SVP,none,2.2703818369453046
SP,pride,0.9034051424600417
Grüne,pride,0.8264462809917356
GLP,pride,0.0
Mitte,pride,2.337228714524207
FDP,pride,2.0257826887661143
SVP,pride,1.238390092879257
SP,sadness,1.9457956914523975
Grüne,sadness,3.0303030303030303
GLP,sadness,3.7037037037037033
Mitte,sadness,2.7545909849749584
FDP,sadness,2.394106813996317
SVP,sadness,1.7543859649122806
