year,party,enthusiasm_share_pct
1999,FDP,1.0
1999,Mitte,1.2345679012345678
1999,SP,2.73972602739726
1999,SVP,3.3333333333333335
2000,FDP,2.7925531914893615
2000,Mitte,2.2452504317789295
2000,SP,6.914893617021277
2000,SVP,3.825136612021858
2001,FDP,4.258064516129032
2001,Mitte,4.098360655737705
2001,SP,5.857740585774058
2001,SVP,6.122448979591836
2002,FDP,2.949061662198391
2002,Mitte,1.951219512195122
2002,SP,5.762711864406779
2002,SVP,3.524229074889868
2003,FDP,3.2953105196451205
2003,Mitte,1.5217391304347827
2003,SP,2.9940119760479043
2003,SVP,1.8433179723502304
2004,FDP,2.5
2004,Mitte,2.2071307300509337
2004,SP,5.9880239520958085
2004,SVP,1.893939393939394
2005,FDP,2.0481927710843375
2005,Mitte,1.6016016016016015
2005,SP,6.289308176100629
2005,SVP,2.1406727828746175
2006,FDP,2.0948180815876514
2006,Mitte,2.0118343195266273
2006,SP,6.5
2006,SVP,2.5839793281653747
2007,FDP,2.871621621621622
2007,GLP,0.0
2007,Grüne,0.0
2007,Mitte,1.0816125860373649
2007,SP,6.281407035175879
2007,SVP,2.9017857142857144
2008,FDP,2.3640661938534278
2008,GLP,20.0
2008,Grüne,6.25
2008,Mitte,1.6181229773462782
2008,SP,3.79746835443038
2008,SVP,2.457002457002457
2009,FDP,4.152823920265781
2009,GLP,6.451612903225806
2009,Grüne,6.0
2009,Mitte,2.4906600249066
2009,SP,3.6989795918367347
2009,SVP,4.221635883905013
2010,FDP,2.338530066815145
2010,GLP,8.51063829787234
2010,Grüne,6.730769230769231
2010,Mitte,3.2474804031354982
2010,SP,5.932203389830509
2010,SVP,1.2295081967213115
2011,FDP,3.368794326241135
2011,GLP,1.4705882352941175
2011,Grüne,3.296703296703297
2011,Mitte,1.7316017316017316
2011,SP,6.0606060606060606
2011,SVP,3.233256351039261
2012,FDP,3.213610586011342
2012,GLP,5.208333333333334
2012,Grüne,7.4324324324324325
2012,Mitte,1.3677811550151975
2012,SP,5.0
2012,SVP,7.782101167315175
2013,FDP,2.2277227722772275
2013,GLP,2.9850746268656714
2013,Grüne,3.571428571428571
2013,Mitte,1.694915254237288
2013,SP,5.250596658711217
2013,SVP,7.1065989847715745
2014,FDP,2.4229074889867843
2014,GLP,2.631578947368421
2014,Grüne,6.349206349206349
2014,Mitte,1.7356475300400533
2014,SP,4.965753424657534
2014,SVP,3.1446540880503147
2015,FDP,4.12621359223301
2015,GLP,4.225352112676056
2015,Grüne,8.403361344537815
2015,Mitte,1.726844583987441
2015,SP,4.113475177304964
2015,SVP,5.154639175257731
2016,FDP,3.361344537815126
2016,Grüne,4.761904761904762
2016,Mitte,2.9013539651837523
2016,SP,4.056795131845842
2016,SVP,4.371584699453552
2017,FDP,2.882483370288248
2017,Grüne,6.0606060606060606
2017,Mitte,4.411764705882353
2017,SP,4.931506849315069
2017,SVP,6.875000000000001
2018,FDP,4.976303317535545
2018,Grüne,10.638297872340425
2018,Mitte,3.3542976939203357
2018,SP,5.637254901960785
2018,SVP,6.557377049180328
2019,FDP,6.1440677966101696
2019,Grüne,2.4390243902439024
2019,Mitte,3.361344537815126
2019,SP,7.488986784140969
2019,SVP,4.081632653061225
2020,FDP,3.4403669724770642
2020,Grüne,9.615384615384617
2020,Mitte,3.2544378698224854
2020,SP,5.639097744360902
2020,SVP,5.138339920948617
2021,FDP,2.371541501976284
2021,Grüne,7.6923076923076925
2021,Mitte,2.490170380078637
2021,SP,5.31496062992126
2021,SVP,4.119850187265917
2022,FDP,4.320987654320987
2022,Grüne,8.695652173913043
2022,Mitte,4.096045197740112
2022,SP,7.262569832402235
2022,SVP,3.75
2023,FDP,1.882845188284519
2023,Grüne,10.05586592178771
2023,Mitte,5.387647831800263
2023,SP,7.348242811501597
2023,SVP,2.3904382470119523
2024,FDP,2.6373626373626373
2024,GLP,0.0
2024,Grüne,9.352517985611511
2024,Mitte,3.792667509481669
2024,SP,6.387225548902195
2024,SVP,3.954802259887006
2025,FDP,6.172839506172839
2025,GLP,0.0
2025,Grüne,5.384615384615385
2025,Mitte,6.683804627249357
2025,SP,8.037825059101655
2025,SVP,6.138107416879795
