year,topic_broad,share_pct
1999,Agriculture & Food,1.6877637130801686
2000,Agriculture & Food,3.7177541729893777
2001,Agriculture & Food,3.740458015267176
2002,Agriculture & Food,8.052950910093767
2003,Agriculture & Food,5.676126878130217
2004,Agriculture & Food,7.2727272727272725
2005,Agriculture & Food,4.930747922437673
2006,Agriculture & Food,9.095634095634097
2007,Agriculture & Food,7.0588235294117645
2008,Agriculture & Food,2.4161073825503356
2009,Agriculture & Food,4.927099044746104
2010,Agriculture & Food,6.610407876230662
2011,Agriculture & Food,6.752411575562702
2012,Agriculture & Food,12.05897840968931
2013,Agriculture & Food,6.900958466453674
2014,Agriculture & Food,4.769560557341908
2015,Agriculture & Food,6.437994722955145
2016,Agriculture & Food,6.396453451551615
2017,Agriculture & Food,6.037151702786378
2018,Agriculture & Food,4.559043348281016
2019,Agriculture & Food,3.0913978494623655
2020,Agriculture & Food,5.771428571428571
2021,Agriculture & Food,7.0138150903294365
2022,Agriculture & Food,9.470588235294118
2023,Agriculture & Food,4.2431192660550465
2024,Agriculture & Food,5.045871559633028
2025,Agriculture & Food,5.673382820784729
1999,"Budget, Tax & Public Finance",22.78481012658228
2000,"Budget, Tax & Public Finance",15.477996965098633
2001,"Budget, Tax & Public Finance",21.755725190839694
2002,"Budget, Tax & Public Finance",31.936017650303366
2003,"Budget, Tax & Public Finance",27.267668336115747
2004,"Budget, Tax & Public Finance",26.47272727272727
2005,"Budget, Tax & Public Finance",22.493074792243767
2006,"Budget, Tax & Public Finance",18.91891891891892
2007,"Budget, Tax & Public Finance",21.45658263305322
2008,"Budget, Tax & Public Finance",21.812080536912752
2009,"Budget, Tax & Public Finance",27.601809954751133
2010,"Budget, Tax & Public Finance",21.003281762775433
2011,"Budget, Tax & Public Finance",21.596998928188636
2012,"Budget, Tax & Public Finance",22.801474460242233
2013,"Budget, Tax & Public Finance",18.01916932907348
2014,"Budget, Tax & Public Finance",19.078242229367632
2015,"Budget, Tax & Public Finance",19.41952506596306
2016,"Budget, Tax & Public Finance",21.785940468651045
2017,"Budget, Tax & Public Finance",21.13003095975232
