year,CAP_Topic,share_pct
1999,Macroeconomics,14.673913043478262
2000,Macroeconomics,13.602015113350127
2001,Macroeconomics,18.319719953325556
2002,Macroeconomics,19.689119170984455
2003,Macroeconomics,21.46558105107328
2004,Macroeconomics,18.415637860082303
2005,Macroeconomics,16.27088830255057
2006,Macroeconomics,15.169811320754716
2007,Macroeconomics,17.69772905246672
2008,Macroeconomics,16.1531279178338
2009,Macroeconomics,24.020319303338173
2010,Macroeconomics,14.898102600140547
2011,Macroeconomics,19.240953221535744
2012,Macroeconomics,12.874043145441894
2013,Macroeconomics,13.197519929140833
2014,Macroeconomics,14.55437448896157
2015,Macroeconomics,20.671378091872793
2016,Macroeconomics,23.336371923427528
2017,Macroeconomics,16.56804733727811
2018,Macroeconomics,17.073170731707318
2019,Macroeconomics,11.797752808988763
2020,Macroeconomics,17.36474694589878
2021,Macroeconomics,15.052160953800298
2022,Macroeconomics,12.787212787212788
2023,Macroeconomics,12.574257425742575
2024,Macroeconomics,15.336322869955158
2025,Macroeconomics,18.45342706502636
1999,Health,5.434782608695652
2000,Health,12.720403022670027
2001,Health,12.135355892648775
2002,Health,6.303972366148532
2003,Health,15.766099185788304
2004,Health,14.7119341563786
2005,Health,6.684256816182938
2006,Health,16.150943396226413
2007,Health,14.487079091620986
2008,Health,16.5266106442577
2009,Health,10.740203193033382
2010,Health,8.995080815179199
2011,Health,11.738746690203
2012,Health,9.324982602644399
2013,Health,14.968999114260406
2014,Health,15.290269828291086
2015,Health,9.452296819787986
2016,Health,9.298085688240656
2017,Health,5.325443786982249
2018,Health,6.968641114982578
2019,Health,12.022471910112358
2020,Health,13.699825479930192
2021,Health,19.076005961251862
2022,Health,15.284715284715283
2023,Health,16.534653465346537
2024,Health,14.977578475336323
2025,Health,12.038664323374341
1999,Law and Crime,45.65217391304348
2000,Law and Crime,17.002518891687657
2001,Law and Crime,12.36872812135356
2002,Law and Crime,11.312607944732298
2003,Law and Crime,9.770540340488527
2004,Law and Crime,8.847736625514404
2005,Law and Crime,9.938434476693052
2006,Law and Crime,20.67924528301887
2007,Law and Crime,22.08300704776821
2008,Law and Crime,11.204481792717088
2009,Law and Crime,7.837445573294629
2010,Law and Crime,10.61138439915671
2011,Law and Crime,6.619593998234776
2012,Law and Crime,7.446068197633959
2013,Law and Crime,12.311780336581045
2014,Law and Crime,15.044971381847915
2015,Law and Crime,12.7208480565371
2016,Law and Crime,10.756608933454876
2017,Law and Crime,12.189349112426036
2018,Law and Crime,11.962833914053427
2019,Law and Crime,9.887640449438202
2020,Law and Crime,15.357766143106458
2021,Law and Crime,14.381520119225039
2022,Law and Crime,11.488511488511488
2023,Law and Crime,12.376237623762377
2024,Law and Crime,10.493273542600896
2025,Law and Crime,11.950790861159929
1999,International Affairs,2.717391304347826
2000,International Affairs,12.97229219143577
2001,International Affairs,11.668611435239207
2002,International Affairs,6.217616580310881
2003,International Affairs,7.549962990377498
2004,International Affairs,11.316872427983538
2005,International Affairs,6.068601583113456
2006,International Affairs,5.3584905660377355
2007,International Affairs,7.987470634299139
2008,International Affairs,8.309990662931838
2009,International Affairs,6.60377358490566
2010,International Affairs,9.27617709065355
2011,International Affairs,8.737864077669903
2012,International Affairs,6.263048016701461
2013,International Affairs,8.060230292294065
2014,International Affairs,7.849550286181521
2015,International Affairs,6.36042402826855
2016,International Affairs,9.480401093892434
2017,International Affairs,9.230769230769232
2018,International Affairs,8.246225319396052
2019,International Affairs,9.101123595505618
2020,International Affairs,6.631762652705062
2021,International Affairs,6.0357675111773474
2022,International Affairs,9.89010989010989
2023,International Affairs,9.009900990099009
2024,International Affairs,12.466367713004484
2025,International Affairs,12.390158172231985
1999,Government Operations,14.673913043478262
2000,Government Operations,12.090680100755668
2001,Government Operations,14.935822637106183
2002,Government Operations,30.310880829015545
2003,Government Operations,14.803849000740193
2004,Government Operations,19.032921810699587
2005,Government Operations,19.43711521547933
2006,Government Operations,12.30188679245283
2007,Government Operations,12.294440093970243
2008,Government Operations,14.19234360410831
2009,Government Operations,15.820029027576195
2010,Government Operations,16.584680252986647
2011,Government Operations,16.328331862312446
2012,Government Operations,17.258176757132915
2013,Government Operations,11.780336581045173
2014,Government Operations,14.55437448896157
2015,Government Operations,11.837455830388691
2016,Government Operations,8.021877848678214
2017,Government Operations,15.7396449704142
2018,Government Operations,19.16376306620209
2019,Government Operations,18.089887640449437
2020,Government Operations,12.827225130890053
2021,Government Operations,12.295081967213115
2022,Government Operations,14.285714285714285
2023,Government Operations,9.207920792079207
2024,Government Operations,9.596412556053812
2025,Government Operations,7.205623901581721
1999,Agriculture,2.1739130434782608
2000,Agriculture,2.644836272040302
2001,Agriculture,5.250875145857643
2002,Agriculture,12.089810017271157
2003,Agriculture,7.179866765358993
2004,Agriculture,8.539094650205762
2005,Agriculture,5.628847845206685
2006,Agriculture,11.69811320754717
2007,Agriculture,9.475332811276429
2008,Agriculture,1.8674136321195145
2009,Agriculture,6.313497822931785
2010,Agriculture,9.416725228390725
2011,Agriculture,9.002647837599294
2012,Agriculture,15.031315240083506
2013,Agriculture,9.300265721877768
2014,Agriculture,6.050695012264922
2015,Agriculture,9.363957597173144
2016,Agriculture,7.292616226071102
2017,Agriculture,8.402366863905325
2018,Agriculture,5.45876887340302
2019,Agriculture,3.8202247191011236
2020,Agriculture,8.726003490401396
2021,Agriculture,9.165424739195231
2022,Agriculture,15.484515484515486
2023,Agriculture,6.336633663366337
2024,Agriculture,7.802690582959642
2025,Agriculture,7.820738137082602
1999,Immigration,1.6304347826086956
2000,Immigration,5.163727959697733
2001,Immigration,3.9673278879813303
2002,Immigration,1.1226252158894647
2003,Immigration,4.885270170244263
2004,Immigration,5.041152263374485
2005,Immigration,13.456464379947231
2006,Immigration,1.1320754716981132
2007,Immigration,2.662490211433046
2008,Immigration,4.9486461251167135
2009,Immigration,3.0478955007256894
2010,Immigration,8.432888264230499
2011,Immigration,5.560458958517211
2012,Immigration,8.69867780097425
2013,Immigration,10.008857395925599
2014,Immigration,6.704824202780049
2015,Immigration,8.03886925795053
2016,Immigration,10.756608933454876
2017,Immigration,7.8106508875739635
2018,Immigration,10.801393728222997
2019,Immigration,2.9213483146067416
2020,Immigration,3.4031413612565444
2021,Immigration,4.172876304023846
2022,Immigration,4.595404595404595
2023,Immigration,9.702970297029703
2024,Immigration,11.748878923766815
2025,Immigration,10.720562390158172
1999,Domestic Commerce,5.434782608695652
2000,Domestic Commerce,13.97984886649874
2001,Domestic Commerce,8.284714119019837
2002,Domestic Commerce,5.181347150259067
2003,Domestic Commerce,10.362694300518134
2004,Domestic Commerce,8.23045267489712
2005,Domestic Commerce,8.267370272647318
2006,Domestic Commerce,8.452830188679245
2007,Domestic Commerce,6.499608457321848
2008,Domestic Commerce,13.445378151260504
2009,Domestic Commerce,19.15820029027576
2010,Domestic Commerce,13.492621222768797
2011,Domestic Commerce,14.563106796116504
2012,Domestic Commerce,12.10855949895616
2013,Domestic Commerce,11.160318866253322
2014,Domestic Commerce,13.49141455437449
2015,Domestic Commerce,13.074204946996467
2016,Domestic Commerce,13.035551504102097
2017,Domestic Commerce,12.544378698224854
2018,Domestic Commerce,13.937282229965156
2019,Domestic Commerce,20.56179775280899
2020,Domestic Commerce,14.485165794066319
2021,Domestic Commerce,11.773472429210134
2022,Domestic Commerce,7.592407592407592
2023,Domestic Commerce,10.693069306930694
2024,Domestic Commerce,9.327354260089686
2025,Domestic Commerce,10.105448154657294
1999,Transportation,7.608695652173914
2000,Transportation,9.82367758186398
2001,Transportation,13.068844807467912
2002,Transportation,7.772020725388601
2003,Transportation,8.216136195410808
2004,Transportation,5.864197530864197
2005,Transportation,14.24802110817942
2006,Transportation,9.056603773584905
2007,Transportation,6.812842599843383
2008,Transportation,13.352007469654529
2009,Transportation,6.458635703918723
2010,Transportation,8.292340126493324
2011,Transportation,8.20829655781112
2012,Transportation,10.995128740431454
2013,Transportation,9.21169176262179
2014,Transportation,6.459525756336877
2015,Transportation,8.480565371024735
2016,Transportation,8.021877848678214
2017,Transportation,12.189349112426036
2018,Transportation,6.3879210220673635
2019,Transportation,11.797752808988763
2020,Transportation,7.504363001745201
2021,Transportation,8.047690014903129
2022,Transportation,8.591408591408593
2023,Transportation,13.564356435643566
2024,Transportation,8.251121076233185
2025,Transportation,9.314586994727591
