party,CAP_Topic,share_pct
SP,Macroeconomics,13.959879087661445
Grüne,Macroeconomics,5.46875
GLP,Macroeconomics,9.67741935483871
Mitte,Macroeconomics,14.073879090988855
FDP,Macroeconomics,14.948901935203304
SVP,Macroeconomics,17.857142857142858
SP,Health,13.533937895026108
Grüne,Health,7.386363636363637
GLP,Health,10.173697270471465
Mitte,Health,9.362112836711416
FDP,Health,12.067840834964121
SVP,Health,7.226399331662489
SP,Law and Crime,12.750755702115965
Grüne,Law and Crime,11.71875
GLP,Law and Crime,5.459057071960298
Mitte,Law and Crime,11.169606036676319
FDP,Law and Crime,9.915198956294846
SVP,Law and Crime,7.205513784461153
SP,International Affairs,7.955482275350372
Grüne,International Affairs,6.889204545454546
GLP,International Affairs,5.707196029776675
Mitte,International Affairs,6.194612617355444
FDP,International Affairs,7.425527288540986
SVP,International Affairs,7.6649958228905595
SP,Government Operations,11.500412201154163
Grüne,Government Operations,13.991477272727273
GLP,Government Operations,17.866004962779154
Mitte,Government Operations,13.363165745371589
FDP,Government Operations,12.252663622526635
SVP,Government Operations,11.278195488721805
SP,Agriculture,5.5784556196757356
Grüne,Agriculture,8.59375
GLP,Agriculture,5.2109181141439205
Mitte,Agriculture,8.247784504694218
FDP,Agriculture,5.6316590563165905
SVP,Agriculture,8.73015873015873
SP,Immigration,5.221214619400935
Grüne,Immigration,8.664772727272728
GLP,Immigration,13.399503722084367
Mitte,Immigration,4.501184522242696
FDP,Immigration,5.544683626875408
SVP,Immigration,6.537176274018379
SP,Domestic Commerce,8.711184391316296
Grüne,Domestic Commerce,7.8125
GLP,Domestic Commerce,8.436724565756824
Mitte,Domestic Commerce,10.476441168728613
FDP,Domestic Commerce,10.371819960861057
SVP,Domestic Commerce,10.275689223057643
SP,Transportation,7.515801044242925
Grüne,Transportation,4.474431818181818
GLP,Transportation,12.40694789081886
Mitte,Transportation,7.993331578485566
FDP,Transportation,8.175690367471189
SVP,Transportation,7.393483709273182
SP,Defense,4.053311349271778
Grüne,Defense,5.3977272727272725
GLP,Defense,0.24813895781637718
Mitte,Defense,5.510221988242519
FDP,Defense,4.848880191345945
SVP,Defense,7.623224728487886
SP,Environment,3.7647705413575157
Grüne,Environment,11.576704545454545
GLP,Environment,9.429280397022332
Mitte,Environment,5.282091778538211
FDP,Environment,4.522722330941509
SVP,Environment,4.824561403508771
SP,Civil Rights,5.4547952734267655
Grüne,Civil Rights,8.025568181818182
GLP,Civil Rights,1.9851116625310175
Mitte,Civil Rights,3.825568131964552
FDP,Civil Rights,4.294411828658403
SVP,Civil Rights,3.3834586466165413
